InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,ID200000,CID-001,c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,2025-01-26,2025-02-25,2603.78,156.24,2760.02,Issued,SampleGen
INV-dc9a7a1d-b463-48ee-a576-037ee198bc20,ID200001,CID-001,dc9a7a1d-b463-48ee-a576-037ee198bc20,2025-02-11,2025-03-13,2255.74,135.36,2391.1,Issued,SampleGen
INV-f07f6d5c-3200-48ba-a311-94546bc40fa9,ID200002,CID-001,f07f6d5c-3200-48ba-a311-94546bc40fa9,2025-03-16,2025-04-15,2239.84,134.4,2374.24,Issued,SampleGen
INV-873e26b4-860e-4c28-9928-5727e2d957e7,ID200003,CID-001,873e26b4-860e-4c28-9928-5727e2d957e7,2025-04-18,2025-05-18,1815.82,108.96,1924.78,Issued,SampleGen
INV-a409879e-e68b-4e3a-afb5-470866cab1a1,ID200004,CID-001,a409879e-e68b-4e3a-afb5-470866cab1a1,2025-04-26,2025-05-26,789.82,47.4,837.22,Issued,SampleGen
INV-2c072fb3-a30a-44b8-a1d6-e235031dd728,ID200005,CID-001,2c072fb3-a30a-44b8-a1d6-e235031dd728,2025-05-16,2025-06-15,379.88,22.8,402.68,Issued,SampleGen
INV-b485d394-1e9a-4a26-b0d8-73d73c8eefd8,ID200006,CID-001,b485d394-1e9a-4a26-b0d8-73d73c8eefd8,2025-06-12,2025-07-12,1967.88,118.08,2085.96,Issued,SampleGen
INV-d4dce9af-83e3-470b-8760-642d38a08c82,ID200007,CID-001,d4dce9af-83e3-470b-8760-642d38a08c82,2025-07-21,2025-08-20,1171.74,70.32,1242.06,Issued,SampleGen
INV-0e11aef4-eea7-45ac-8739-69ac9af96084,ID200008,CID-001,0e11aef4-eea7-45ac-8739-69ac9af96084,2025-08-25,2025-09-24,2879.8,172.8,3052.6,Issued,SampleGen
INV-5927f8ac-166a-4921-bbb6-9c089d5073d3,ID200009,CID-001,5927f8ac-166a-4921-bbb6-9c089d5073d3,2025-09-30,2025-10-30,999.84,60.0,1059.84,Issued,SampleGen
INV-eaa3512e-3d6b-4e8e-a757-64351338489a,ID200010,CID-001,eaa3512e-3d6b-4e8e-a757-64351338489a,2025-09-25,2025-10-25,1379.74,82.8,1462.54,Issued,SampleGen
INV-c87e6dd2-d435-4e0d-b70f-5e85af8a63f6,ID200011,CID-001,c87e6dd2-d435-4e0d-b70f-5e85af8a63f6,2025-10-20,2025-11-19,3231.72,193.92,3425.64,Issued,SampleGen
INV-8337d4d2-06a6-4b65-8af6-4244e7c31758,ID200012,CID-001,8337d4d2-06a6-4b65-8af6-4244e7c31758,2025-10-02,2025-11-01,2895.82,173.76,3069.58,Issued,SampleGen
INV-d78da133-358f-42d4-a2d1-f459bc82d7a6,ID200013,CID-001,d78da133-358f-42d4-a2d1-f459bc82d7a6,2025-11-14,2025-12-14,959.86,57.6,1017.46,Issued,SampleGen
INV-c521debf-a8f8-4797-a277-6b1c10d8d19c,ID200014,CID-001,c521debf-a8f8-4797-a277-6b1c10d8d19c,2025-11-20,2025-12-20,4671.76,280.32,4952.08,Issued,SampleGen
INV-a099350a-fe15-401d-a9ba-99061ecdf266,ID200015,CID-001,a099350a-fe15-401d-a9ba-99061ecdf266,2025-12-07,2026-01-06,3005.82,180.36,3186.18,Issued,SampleGen
INV-f45bf0ca-6b5a-4eb2-91cf-f3502c9a3731,ID200016,CID-001,f45bf0ca-6b5a-4eb2-91cf-f3502c9a3731,2025-12-15,2026-01-14,1831.78,109.92,1941.7,Issued,SampleGen
INV-3e81c402-9dd1-4eb6-8fbe-f65068cd389c,ID200017,CID-001,3e81c402-9dd1-4eb6-8fbe-f65068cd389c,2026-01-19,2026-02-18,3379.78,202.8,3582.58,Issued,SampleGen
INV-18fde760-909a-4b78-b137-0d7d852f34f2,ID200018,CID-001,18fde760-909a-4b78-b137-0d7d852f34f2,2026-01-29,2026-02-28,931.84,55.92,987.76,Issued,SampleGen
