PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-7b9fc693-e87e-43a6-a771-2bf0201b6af8,INV-7b9fc693-e87e-43a6-a771-2bf0201b6af8,CID-001,2026-03-16,1391.94,AmEx,Completed,SampleGen
PAY-bee6cc51-2d3d-4281-8637-e7ef0b8417ce,INV-bee6cc51-2d3d-4281-8637-e7ef0b8417ce,CID-001,2025-05-26,173.98,AmEx,Completed,SampleGen
PAY-f78841cc-baa1-4ca2-a795-79cb7583837e,INV-f78841cc-baa1-4ca2-a795-79cb7583837e,CID-001,2025-01-13,1848.72,MC,Completed,SampleGen
PAY-d76c1ea6-2cc2-4411-96ed-8469273c48fe,INV-d76c1ea6-2cc2-4411-96ed-8469273c48fe,CID-001,2025-12-20,2120.6,VISA,Completed,SampleGen
PAY-ac481cdd-89e8-452e-afef-dfda6e6d8689,INV-ac481cdd-89e8-452e-afef-dfda6e6d8689,CID-001,2025-11-16,2283.68,VISA,Completed,SampleGen
PAY-202cae5b-70f8-4e6f-8dbf-916e13681640,INV-202cae5b-70f8-4e6f-8dbf-916e13681640,CID-001,2025-05-12,608.96,AmEx,Completed,SampleGen
PAY-d0b06676-74fa-48ea-ace3-48270321474c,INV-d0b06676-74fa-48ea-ace3-48270321474c,CID-001,2025-03-22,2327.18,VISA,Completed,SampleGen
PAY-6061371d-73e8-4efc-a2f6-50826a63492d,INV-6061371d-73e8-4efc-a2f6-50826a63492d,CID-002,2026-04-07,1337.57,MC,Completed,SampleGen
PAY-44a97a2f-cb8a-4a13-99be-672bb13bd53c,INV-44a97a2f-cb8a-4a13-99be-672bb13bd53c,CID-002,2025-01-20,1065.7,VISA,Completed,SampleGen
PAY-7575f997-a32a-499b-b333-e72007aa6897,INV-7575f997-a32a-499b-b333-e72007aa6897,CID-003,2026-01-27,2827.48,MC,Completed,SampleGen
PAY-dabc36f7-237c-4163-ba63-31464a82fc68,INV-dabc36f7-237c-4163-ba63-31464a82fc68,CID-003,2026-02-20,978.73,AmEx,Completed,SampleGen
PAY-c387446a-fc53-43be-aa00-ffd57ce3fc68,INV-c387446a-fc53-43be-aa00-ffd57ce3fc68,CID-003,2025-05-02,3371.17,MC,Completed,SampleGen
PAY-1ff7571a-8243-473e-b088-74028dd6ebe0,INV-1ff7571a-8243-473e-b088-74028dd6ebe0,CID-003,2026-01-13,1250.58,VISA,Completed,SampleGen
PAY-80d90f52-cc02-4ecf-9802-c79198b10e4d,INV-80d90f52-cc02-4ecf-9802-c79198b10e4d,CID-004,2025-03-29,1098.32,PayPal,Completed,SampleGen
PAY-5c6ff87e-a054-4edc-b437-c08f8bfc5c87,INV-5c6ff87e-a054-4edc-b437-c08f8bfc5c87,CID-004,2025-10-04,1250.57,VISA,Completed,SampleGen
PAY-139b5c4e-604c-47a5-94fb-3c740aeb6d0b,INV-139b5c4e-604c-47a5-94fb-3c740aeb6d0b,CID-005,2025-08-05,1848.71,AmEx,Completed,SampleGen
