OrderID,SalesChannelID,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,Kitchen,D200000,CID-001,CA-0002,2025-01-25,Pending,2603.78,156.24,2760.02,VISA,USD,SampleGen
dc9a7a1d-b463-48ee-a576-037ee198bc20,Kitchen,D200001,CID-001,CA-0002,2025-02-10,Completed,2255.74,135.36,2391.1,MC,USD,SampleGen
f07f6d5c-3200-48ba-a311-94546bc40fa9,Kitchen,D200002,CID-001,CA-0002,2025-03-15,Completed,2239.84,134.4,2374.24,MC,USD,SampleGen
873e26b4-860e-4c28-9928-5727e2d957e7,Kitchen,D200003,CID-001,CA-0002,2025-04-17,Completed,1815.82,108.96,1924.78,MC,USD,SampleGen
a409879e-e68b-4e3a-afb5-470866cab1a1,Kitchen,D200004,CID-001,CA-0002,2025-04-25,Completed,789.82,47.4,837.22,MC,USD,SampleGen
2c072fb3-a30a-44b8-a1d6-e235031dd728,Kitchen,D200005,CID-001,CA-0002,2025-05-15,Pending,379.88,22.8,402.68,MC,USD,SampleGen
b485d394-1e9a-4a26-b0d8-73d73c8eefd8,Kitchen,D200006,CID-001,CA-0002,2025-06-11,Completed,1967.88,118.08,2085.96,VISA,USD,SampleGen
d4dce9af-83e3-470b-8760-642d38a08c82,Kitchen,D200007,CID-001,CA-0002,2025-07-20,Completed,1171.74,70.32,1242.06,MC,USD,SampleGen
0e11aef4-eea7-45ac-8739-69ac9af96084,Kitchen,D200008,CID-001,CA-0002,2025-08-24,Completed,2879.8,172.8,3052.6,Discover,USD,SampleGen
5927f8ac-166a-4921-bbb6-9c089d5073d3,Kitchen,D200009,CID-001,CA-0002,2025-09-29,Pending,999.84,60.0,1059.84,AmEx,USD,SampleGen
eaa3512e-3d6b-4e8e-a757-64351338489a,Kitchen,D200010,CID-001,CA-0002,2025-09-24,Completed,1379.74,82.8,1462.54,VISA,USD,SampleGen
c87e6dd2-d435-4e0d-b70f-5e85af8a63f6,Kitchen,D200011,CID-001,CA-0002,2025-10-19,Completed,3231.72,193.92,3425.64,Discover,USD,SampleGen
8337d4d2-06a6-4b65-8af6-4244e7c31758,Kitchen,D200012,CID-001,CA-0002,2025-10-01,Cancelled,2895.82,173.76,3069.58,MC,USD,SampleGen
d78da133-358f-42d4-a2d1-f459bc82d7a6,Kitchen,D200013,CID-001,CA-0002,2025-11-13,Completed,959.86,57.6,1017.46,AmEx,USD,SampleGen
c521debf-a8f8-4797-a277-6b1c10d8d19c,Kitchen,D200014,CID-001,CA-0002,2025-11-19,Completed,4671.76,280.32,4952.08,AmEx,USD,SampleGen
a099350a-fe15-401d-a9ba-99061ecdf266,Kitchen,D200015,CID-001,CA-0002,2025-12-06,Completed,3005.82,180.36,3186.18,MC,USD,SampleGen
f45bf0ca-6b5a-4eb2-91cf-f3502c9a3731,Kitchen,D200016,CID-001,CA-0002,2025-12-14,Completed,1831.78,109.92,1941.7,AmEx,USD,SampleGen
3e81c402-9dd1-4eb6-8fbe-f65068cd389c,Kitchen,D200017,CID-001,CA-0002,2026-01-18,Pending,3379.78,202.8,3582.58,VISA,USD,SampleGen
18fde760-909a-4b78-b137-0d7d852f34f2,Kitchen,D200018,CID-001,CA-0002,2026-01-28,Completed,931.84,55.92,987.76,AmEx,USD,SampleGen
abdf7c48-57a8-4e1c-a076-78aae9b9d81e,Kitchen,D200019,CID-001,CA-0002,2026-02-15,Shipped,4079.82,244.8,4324.62,VISA,USD,SampleGen
b060314a-b0f5-4b66-bf45-153493f25f98,Kitchen,D200020,CID-001,CA-0002,2026-02-21,Shipped,1599.88,96.0,1695.88,VISA,USD,SampleGen
40a42848-79cc-47af-aaa2-8d60d50a8926,Kitchen,D200021,CID-001,CA-0002,2026-02-05,Completed,2063.92,123.84,2187.76,MC,USD,SampleGen
4735aa23-1192-4002-b848-690450727708,Kitchen,D200022,CID-001,CA-0002,2026-03-06,Completed,923.74,55.44,979.18,PayPal,USD,SampleGen
d9066bd2-b13f-4ab6-841b-5dbaec35f191,Kitchen,D200023,CID-001,CA-0002,2026-03-04,Cancelled,567.84,34.08,601.92,MC,USD,SampleGen
e6744adb-bb99-4f2f-91a1-c842caf6271b,Kitchen,D200024,CID-001,CA-0002,2026-03-20,Completed,5087.76,305.28,5393.04,AmEx,USD,SampleGen
f4614ec9-010e-4f2f-9b71-37e10e88888f,Kitchen,D200025,CID-001,CA-0002,2026-04-17,Shipped,4631.74,277.92,4909.66,PayPal,USD,SampleGen
13030a15-32de-4ddc-bb3f-59f753636888,Kitchen,D200026,CID-001,CA-0002,2026-04-02,Completed,2887.72,173.28,3061.0,MC,USD,SampleGen
7136e683-79d9-4009-9c88-57650566db34,Kitchen,D200027,CID-001,CA-0002,2026-04-08,Shipped,1257.74,75.48,1333.22,VISA,USD,SampleGen
d2cea85a-132b-4359-bf9f-e9b07cd84acb,Kitchen,D200028,CID-002,CA-0004,2025-03-22,Completed,1889.78,113.4,2003.18,VISA,USD,SampleGen
930a822f-3d87-45ca-b16e-50a4d0a42634,Kitchen,D200029,CID-002,CA-0004,2025-04-01,Completed,1431.82,85.92,1517.74,VISA,USD,SampleGen
741f202f-2de3-46b7-b17c-8c8065305b25,Kitchen,D200030,CID-002,CA-0004,2026-02-09,Completed,3671.84,220.32,3892.16,AmEx,USD,SampleGen
49ff71f2-e323-42bb-8a53-3b5ccf0f7ad7,Kitchen,D200031,CID-002,CA-0004,2026-04-25,Completed,419.88,25.2,445.08,VISA,USD,SampleGen
a1dd313f-acbf-4f74-9427-92add5e130ba,Kitchen,D200032,CID-003,CA-0006,2025-01-14,Completed,2951.82,177.12,3128.94,VISA,USD,SampleGen
24f5ecf5-9345-4a67-8a46-2b07fc0ad0f2,Kitchen,D200033,CID-003,CA-0006,2025-02-05,Completed,297.9,17.88,315.78,AmEx,USD,SampleGen
ce711ba7-38d3-4cb0-81d0-08bafc96f344,Kitchen,D200034,CID-003,CA-0006,2025-03-20,Pending,1485.76,89.16,1574.92,MC,USD,SampleGen
7ab73c1b-0195-4b74-9d84-a711698b293c,Kitchen,D200035,CID-003,CA-0006,2025-04-15,Completed,283.88,17.04,300.92,VISA,USD,SampleGen
a2127701-ef05-4a86-9efd-555a341cd650,Kitchen,D200036,CID-003,CA-0006,2025-05-07,Completed,1535.8,92.16,1627.96,AmEx,USD,SampleGen
0f3cc5a7-4e30-4ac2-a2e3-41fe0d6d50c5,Kitchen,D200037,CID-003,CA-0006,2025-06-25,Completed,733.82,44.04,777.86,PayPal,USD,SampleGen
