OrderID,SalesChannelID,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
7b9fc693-e87e-43a6-a771-2bf0201b6af8,Ski,S300000,CID-001,CA-0926,2026-03-15,Completed,1279.95,111.99,1391.94,AmEx,USD,SampleGen
bee6cc51-2d3d-4281-8637-e7ef0b8417ce,Ski,S300001,CID-001,CA-0926,2025-05-25,Cancelled,159.98,14.0,173.98,AmEx,USD,SampleGen
f78841cc-baa1-4ca2-a795-79cb7583837e,Ski,S300002,CID-001,CA-0926,2025-01-12,Completed,1699.97,148.75,1848.72,MC,USD,SampleGen
d76c1ea6-2cc2-4411-96ed-8469273c48fe,Ski,S300003,CID-001,CA-0926,2025-12-19,Completed,1949.98,170.62,2120.6,VISA,USD,SampleGen
ac481cdd-89e8-452e-afef-dfda6e6d8689,Ski,S300004,CID-001,CA-0926,2025-11-15,Completed,2099.94,183.74,2283.68,VISA,USD,SampleGen
202cae5b-70f8-4e6f-8dbf-916e13681640,Ski,S300005,CID-001,CA-0926,2025-05-11,Completed,559.96,49.0,608.96,AmEx,USD,SampleGen
d0b06676-74fa-48ea-ace3-48270321474c,Ski,S300006,CID-001,CA-0926,2025-03-21,Completed,2139.94,187.24,2327.18,VISA,USD,SampleGen
6061371d-73e8-4efc-a2f6-50826a63492d,Ski,S300007,CID-002,CA-0927,2026-04-06,Shipped,1229.95,107.62,1337.57,MC,USD,SampleGen
44a97a2f-cb8a-4a13-99be-672bb13bd53c,Ski,S300008,CID-002,CA-0927,2025-01-19,Completed,979.95,85.75,1065.7,VISA,USD,SampleGen
7575f997-a32a-499b-b333-e72007aa6897,Ski,S300009,CID-003,CA-0928,2026-01-26,Completed,2599.98,227.5,2827.48,MC,USD,SampleGen
dabc36f7-237c-4163-ba63-31464a82fc68,Ski,S300010,CID-003,CA-0928,2026-02-19,Completed,899.98,78.75,978.73,AmEx,USD,SampleGen
c387446a-fc53-43be-aa00-ffd57ce3fc68,Ski,S300011,CID-003,CA-0928,2025-05-01,Shipped,3099.92,271.25,3371.17,MC,USD,SampleGen
1ff7571a-8243-473e-b088-74028dd6ebe0,Ski,S300012,CID-003,CA-0928,2026-01-12,Completed,1149.96,100.62,1250.58,VISA,USD,SampleGen
80d90f52-cc02-4ecf-9802-c79198b10e4d,Ski,S300013,CID-004,CA-0929,2025-03-28,Completed,1009.95,88.37,1098.32,PayPal,USD,SampleGen
5c6ff87e-a054-4edc-b437-c08f8bfc5c87,Ski,S300014,CID-004,CA-0929,2025-10-03,Shipped,1149.95,100.62,1250.57,VISA,USD,SampleGen
139b5c4e-604c-47a5-94fb-3c740aeb6d0b,Ski,S300015,CID-005,CA-0930,2025-08-04,Completed,1699.96,148.75,1848.71,AmEx,USD,SampleGen
a4b6347f-7123-4cdc-b974-a5974d9db12a,Ski,S300016,CID-005,CA-0930,2025-12-05,Shipped,4049.95,354.37,4404.32,VISA,USD,SampleGen
8baab4f6-347d-47b8-b6e7-490718382f74,Ski,S300017,CID-006,CA-0931,2025-07-21,Completed,989.97,86.62,1076.59,MC,USD,SampleGen
3c01edf1-c1a0-4afc-ad30-c88194a2cf36,Ski,S300018,CID-006,CA-0931,2025-01-28,Completed,2229.94,195.12,2425.06,MC,USD,SampleGen
3c4cc943-3ed4-4d2a-ad11-ca8d1214462d,Ski,S300019,CID-006,CA-0931,2026-03-03,Completed,1979.97,173.25,2153.22,VISA,USD,SampleGen
1cfb98bf-9b16-4e91-ab85-0e81bb7ffb8d,Ski,S300020,CID-006,CA-0931,2025-02-28,Completed,2699.97,236.25,2936.22,Discover,USD,SampleGen
1be8a8b5-2bba-4bc8-b65b-162e0b5d391c,Ski,S300021,CID-006,CA-0931,2025-10-16,Cancelled,3079.93,269.5,3349.43,MC,USD,SampleGen
37a47f47-bdbc-4533-9f5f-b8af362e88c4,Ski,S300022,CID-006,CA-0931,2025-01-28,Completed,2589.95,226.61,2816.56,MC,USD,SampleGen
1f73475c-7fb2-455b-a3a2-41be45744fb7,Ski,S300023,CID-007,CA-0932,2025-05-03,Completed,309.98,27.12,337.1,MC,USD,SampleGen
3c7039de-bcb3-4c94-ba43-13135173df6d,Ski,S300024,CID-007,CA-0932,2025-07-27,Completed,329.98,28.87,358.85,VISA,USD,SampleGen
f2f78e34-bd40-4805-a5d0-77fe0df64edd,Ski,S300025,CID-008,CA-0933,2026-04-17,Completed,1809.94,158.37,1968.31,MC,USD,SampleGen
c3337229-fc98-4e1e-88d7-5a35d7ed4c2f,Ski,S300026,CID-008,CA-0933,2025-04-07,Shipped,799.98,70.0,869.98,MC,USD,SampleGen
74060cdb-9eef-4bce-ae99-4fd49abed4f7,Ski,S300027,CID-008,CA-0933,2025-01-17,Completed,1599.94,140.0,1739.94,PayPal,USD,SampleGen
421172c2-2005-4201-9f46-6ee44dee08cf,Ski,S300028,CID-008,CA-0933,2025-05-31,Completed,504.97,44.18,549.15,Discover,USD,SampleGen
37e4e567-653e-4e0b-8900-9568400598e3,Ski,S300029,CID-008,CA-0933,2025-11-11,Completed,579.98,50.75,630.73,VISA,USD,SampleGen
e6de8612-66d6-45a7-836d-3a78f0776836,Ski,S300030,CID-009,CA-0934,2025-11-02,Completed,1239.95,108.5,1348.45,MC,USD,SampleGen
c5655544-d16f-4c74-8920-5bb2377c78c4,Ski,S300031,CID-009,CA-0934,2025-08-08,Completed,1569.95,137.37,1707.32,PayPal,USD,SampleGen
bbce674b-1e7c-4e7b-95fa-7217a998d44e,Ski,S300032,CID-010,CA-0935,2025-05-02,Completed,1919.96,168.0,2087.96,AmEx,USD,SampleGen
6e1b383c-6db5-49d6-a264-a7fd5bd60add,Ski,S300033,CID-010,CA-0935,2025-08-10,Completed,1299.98,113.74,1413.72,MC,USD,SampleGen
4e742a6a-5bac-4570-b149-bcea968c1da6,Ski,S300034,CID-010,CA-0935,2025-02-12,Shipped,1024.95,89.68,1114.63,Discover,USD,SampleGen
e460f9d0-64d1-42bc-b30a-27e0652a881d,Ski,S300035,CID-010,CA-0935,2025-10-04,Completed,4059.95,355.25,4415.2,AmEx,USD,SampleGen
8e27e066-cc84-4f41-af40-261eab604672,Ski,S300036,CID-010,CA-0935,2025-12-17,Completed,2599.98,227.5,2827.48,AmEx,USD,SampleGen
646d2e75-8bca-4888-812a-3eb71de6e6f0,Ski,S300037,CID-010,CA-0935,2025-11-18,Cancelled,1539.96,134.75,1674.71,Discover,USD,SampleGen
4247b4f1-e94a-41cc-b018-b5de280d965d,Ski,S300038,CID-010,CA-0935,2025-03-24,Cancelled,1299.98,113.75,1413.73,VISA,USD,SampleGen
58e62930-b68a-44c3-9f04-dcc4c5a51a7a,Ski,S300039,CID-011,CA-0936,2026-02-14,Completed,249.99,21.87,271.86,MC,USD,SampleGen
ba5728bd-34c0-4cea-acb7-36d7c7f1b867,Ski,S300040,CID-011,CA-0936,2026-01-06,Completed,149.99,13.12,163.11,MC,USD,SampleGen
8c15c8ee-04c1-46ed-8a86-946062d96dfa,Ski,S300041,CID-011,CA-0936,2025-11-29,Completed,839.98,73.49,913.47,PayPal,USD,SampleGen
f2888d77-ae21-4812-8d1a-04e5d311a889,Ski,S300042,CID-011,CA-0936,2025-09-10,Pending,2059.95,180.24,2240.19,VISA,USD,SampleGen
01ed8879-14f8-4ea1-820d-b87d3ebf57f9,Ski,S300043,CID-012,CA-0937,2026-01-09,Completed,799.98,69.99,869.97,MC,USD,SampleGen
3cff8dff-0969-447d-9074-09b8d0d560ac,Ski,S300044,CID-013,CA-0938,2025-07-27,Completed,879.98,77.0,956.98,VISA,USD,SampleGen
f82e03f0-8e7d-4004-bd3c-61b27efc06f6,Ski,S300045,CID-013,CA-0938,2025-02-06,Completed,299.98,26.25,326.23,Discover,USD,SampleGen
e9a79461-99e1-48b4-8d65-d688d9388b77,Ski,S300046,CID-014,CA-0939,2025-05-17,Shipped,1279.97,112.0,1391.97,VISA,USD,SampleGen
02452e59-26df-4cfa-b8bc-2a6e832cb34c,Ski,S300047,CID-014,CA-0939,2025-12-04,Completed,2379.95,208.24,2588.19,MC,USD,SampleGen
d4d34006-6edd-4118-88c2-36cdb66ef0fe,Ski,S300048,CID-015,CA-0940,2026-01-01,Shipped,2649.94,231.87,2881.81,VISA,USD,SampleGen
fbcfba61-3f60-46c1-ab48-130317e47559,Ski,S300049,CID-015,CA-0940,2025-03-17,Shipped,1449.97,126.87,1576.84,PayPal,USD,SampleGen
9a4c0999-6661-4590-aabe-941cbb385ae6,Ski,S300050,CID-016,CA-0941,2025-08-25,Completed,1649.97,144.37,1794.34,Discover,USD,SampleGen
445d39dd-382e-43a5-9dd6-e29140b5174d,Ski,S300051,CID-016,CA-0941,2025-07-25,Completed,1419.96,124.25,1544.21,MC,USD,SampleGen
a95f7111-ad60-4c7c-a7ce-4a42d8b8bce8,Ski,S300052,CID-017,CA-0942,2025-11-05,Pending,2849.97,249.37,3099.34,AmEx,USD,SampleGen
f9dae1dc-1df0-49d6-aa9b-57e1204d2205,Ski,S300053,CID-017,CA-0942,2025-07-03,Completed,119.99,10.5,130.49,MC,USD,SampleGen
0e0e9080-39f8-4f29-9723-d8fc0e8d34dc,Ski,S300054,CID-017,CA-0942,2025-05-24,Completed,1099.98,96.25,1196.23,PayPal,USD,SampleGen
96a73939-6ccd-440c-babd-a894b2412eda,Ski,S300055,CID-017,CA-0942,2025-03-08,Completed,1879.97,164.5,2044.47,VISA,USD,SampleGen
d32fd652-17e4-471e-a268-8beca8c0b576,Ski,S300056,CID-017,CA-0942,2026-04-15,Completed,1559.94,136.5,1696.44,AmEx,USD,SampleGen
97972eea-a17f-479d-960e-1145fd77a486,Ski,S300057,CID-017,CA-0942,2026-03-24,Completed,239.98,21.0,260.98,MC,USD,SampleGen
36494a8e-092c-4453-90b7-3ec9bf1b4222,Ski,S300058,CID-018,CA-0943,2025-10-01,Completed,2329.94,203.87,2533.81,AmEx,USD,SampleGen
c0c6a4d4-e519-4571-8005-204fb660eb0a,Ski,S300059,CID-018,CA-0943,2025-07-31,Completed,3099.95,271.25,3371.2,VISA,USD,SampleGen
8836453f-a1c3-481c-a25c-3dfe83779858,Ski,S300060,CID-019,CA-0944,2025-09-12,Completed,2099.97,183.75,2283.72,Discover,USD,SampleGen
4be7d7bb-8ba7-4183-88ad-b84a5081ccce,Ski,S300061,CID-019,CA-0944,2025-04-14,Completed,2539.96,222.25,2762.21,AmEx,USD,SampleGen
2d09e505-3777-42a9-8c37-6a916818bb89,Ski,S300062,CID-019,CA-0944,2025-03-18,Shipped,1539.96,134.75,1674.71,MC,USD,SampleGen
193271b3-7fc1-4814-8d8b-2f9bc7c20355,Ski,S300063,CID-019,CA-0944,2025-07-21,Pending,1959.94,171.5,2131.44,VISA,USD,SampleGen
c690e031-6617-4734-bdfd-abc76e7368b8,Ski,S300064,CID-019,CA-0944,2025-01-07,Pending,1659.97,145.25,1805.22,AmEx,USD,SampleGen
877c6e07-3499-4233-bae9-b67b73c973bc,Ski,S300065,CID-019,CA-0944,2026-02-18,Completed,1559.95,136.5,1696.45,VISA,USD,SampleGen
79492cc5-ae98-4aa5-a166-c56e6b2da49b,Ski,S300066,CID-019,CA-0944,2025-02-15,Completed,129.99,11.37,141.36,PayPal,USD,SampleGen
57b526f4-8d1b-4fb8-b20d-b50c29a8691b,Ski,S300067,CID-020,CA-0945,2025-01-06,Completed,1299.99,113.75,1413.74,AmEx,USD,SampleGen
38b24d4d-b277-41f4-871d-fc67aa22bf4c,Ski,S300068,CID-020,CA-0945,2025-01-02,Completed,449.99,39.37,489.36,MC,USD,SampleGen
d99d4114-27f6-44f6-8f03-58b706465ec3,Ski,S300069,CID-020,CA-0945,2026-04-11,Completed,2189.94,191.62,2381.56,VISA,USD,SampleGen
99336e1f-c074-4bff-b050-26f528731951,Ski,S300070,CID-020,CA-0945,2025-07-19,Shipped,119.99,10.5,130.49,MC,USD,SampleGen
e84854ab-fccd-45b5-8277-c3edce711d63,Ski,S300071,CID-020,CA-0945,2026-03-13,Completed,999.96,87.49,1087.45,VISA,USD,SampleGen
ab7a5473-66cb-4311-abbc-6b0a3c0631a7,Ski,S300072,CID-020,CA-0945,2025-02-27,Cancelled,1159.98,101.5,1261.48,PayPal,USD,SampleGen
24115400-9f18-4565-bb9b-565abdbc1b23,Ski,S300073,CID-021,CA-0946,2025-02-12,Shipped,5099.94,446.25,5546.19,VISA,USD,SampleGen
c4036e16-6078-4337-b1fa-36fb83984d07,Ski,S300074,CID-021,CA-0946,2026-03-24,Completed,409.97,35.87,445.84,MC,USD,SampleGen
812e5053-b5d9-4c9a-a168-2387d39b1f34,Ski,S300075,CID-021,CA-0946,2026-02-05,Completed,3149.93,275.62,3425.55,AmEx,USD,SampleGen
eda0a437-c868-48a5-94fc-671070ba86da,Ski,S300076,CID-021,CA-0946,2026-03-25,Shipped,2459.93,215.25,2675.18,PayPal,USD,SampleGen
49513c55-713b-4380-b3f0-9c3213e38072,Ski,S300077,CID-022,CA-0947,2025-04-13,Completed,859.96,75.25,935.21,PayPal,USD,SampleGen
c510973d-316c-4212-a2b3-fd116602276e,Ski,S300078,CID-022,CA-0947,2026-01-25,Completed,2449.94,214.37,2664.31,MC,USD,SampleGen
a8fa27ae-dde1-4a09-81aa-54cacf08d61b,Ski,S300079,CID-022,CA-0947,2025-10-11,Shipped,509.97,44.62,554.59,PayPal,USD,SampleGen
d2c5a46d-fcf6-4421-884b-816b68904217,Ski,S300080,CID-023,CA-0948,2025-04-13,Completed,429.96,37.62,467.58,MC,USD,SampleGen
912cfbd2-c8a8-417e-954b-8a68c5645c36,Ski,S300081,CID-023,CA-0948,2025-10-29,Completed,1549.97,135.62,1685.59,Discover,USD,SampleGen
a09b0b3c-5de9-47f7-b586-a40a8400d269,Ski,S300082,CID-023,CA-0948,2025-04-20,Completed,1769.93,154.87,1924.8,MC,USD,SampleGen
31649860-09b8-467b-b394-c407e12bc2e5,Ski,S300083,CID-023,CA-0948,2025-02-28,Completed,3859.95,337.75,4197.7,MC,USD,SampleGen
1dcd4a1e-ccec-43eb-91fd-52b316e42d3d,Ski,S300084,CID-023,CA-0948,2025-10-11,Completed,1479.94,129.5,1609.44,VISA,USD,SampleGen
b22bb6cf-7e9a-422a-9754-0fa0d52f4c30,Ski,S300085,CID-024,CA-0949,2026-02-11,Completed,1074.95,94.05,1169.0,Discover,USD,SampleGen
c1342fb4-063c-4daa-897c-d373a620ffdb,Ski,S300086,CID-024,CA-0949,2025-08-14,Completed,669.94,58.62,728.56,VISA,USD,SampleGen
