PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
d8c19c80-4405-479b-a65a-43879286d8c1,INV-c7fd8b64-c9b8-41ff-8142-167bbb4ba3b9,CID-001,2025-01-25,2760.02,VISA,Completed,SampleGen
af658fb5-9f58-4f2f-8ca6-44f55e6b7539,INV-dc9a7a1d-b463-48ee-a576-037ee198bc20,CID-001,2025-02-10,2391.1,MC,Completed,SampleGen
4a5c05c1-17af-4845-aa1d-10c169b08dd6,INV-f07f6d5c-3200-48ba-a311-94546bc40fa9,CID-001,2025-03-15,2374.24,MC,Completed,SampleGen
72a956e2-2af0-4634-b10e-594fdb629fb0,INV-873e26b4-860e-4c28-9928-5727e2d957e7,CID-001,2025-04-17,1924.78,MC,Completed,SampleGen
5b39b2e0-278d-4270-9b83-a1a2755fb4da,INV-a409879e-e68b-4e3a-afb5-470866cab1a1,CID-001,2025-04-25,837.22,MC,Completed,SampleGen
f61fa33b-f12c-4b35-9c0a-aa18068a4e6c,INV-2c072fb3-a30a-44b8-a1d6-e235031dd728,CID-001,2025-05-15,402.68,MC,Completed,SampleGen
a5ddae2f-4e85-4e24-9180-e7779f2c70c1,INV-b485d394-1e9a-4a26-b0d8-73d73c8eefd8,CID-001,2025-06-11,2085.96,VISA,Completed,SampleGen
a9a8166f-e229-4fa0-bc4e-e862f8971e4d,INV-d4dce9af-83e3-470b-8760-642d38a08c82,CID-001,2025-07-20,1242.06,MC,Completed,SampleGen
c29d6b94-7fe1-420f-90e7-c9eadf52a42e,INV-0e11aef4-eea7-45ac-8739-69ac9af96084,CID-001,2025-08-24,3052.6,Discover,Completed,SampleGen
84d4c23f-653c-452a-a995-c31228aa41a3,INV-5927f8ac-166a-4921-bbb6-9c089d5073d3,CID-001,2025-09-29,1059.84,AmEx,Completed,SampleGen
4198212f-5a93-4da8-ab9d-9091002cbbb3,INV-eaa3512e-3d6b-4e8e-a757-64351338489a,CID-001,2025-09-24,1462.54,VISA,Completed,SampleGen
a7dc893f-6a83-4cf7-b8b3-003816c86b8c,INV-c87e6dd2-d435-4e0d-b70f-5e85af8a63f6,CID-001,2025-10-19,3425.64,Discover,Completed,SampleGen
39920e89-ff76-46b6-8e9b-e2e006caffb3,INV-8337d4d2-06a6-4b65-8af6-4244e7c31758,CID-001,2025-10-01,3069.58,MC,Completed,SampleGen
a9a58134-6973-4480-8e2e-c97b5d9964dc,INV-d78da133-358f-42d4-a2d1-f459bc82d7a6,CID-001,2025-11-13,1017.46,AmEx,Completed,SampleGen
458e3dcf-fc82-491f-953b-7e01dc04dc89,INV-c521debf-a8f8-4797-a277-6b1c10d8d19c,CID-001,2025-11-19,4952.08,AmEx,Completed,SampleGen
21d801c5-bceb-4e17-8146-fd3dafa16672,INV-a099350a-fe15-401d-a9ba-99061ecdf266,CID-001,2025-12-06,3186.18,MC,Completed,SampleGen
afba2e22-be0b-4b6d-a5c1-5497e6c9de36,INV-f45bf0ca-6b5a-4eb2-91cf-f3502c9a3731,CID-001,2025-12-14,1941.7,AmEx,Completed,SampleGen
988ad0a3-20d2-470b-9f88-ce506f5ad939,INV-3e81c402-9dd1-4eb6-8fbe-f65068cd389c,CID-001,2026-01-18,3582.58,VISA,Completed,SampleGen
4918f15f-5176-4360-ba60-14691ee1d52e,INV-18fde760-909a-4b78-b137-0d7d852f34f2,CID-001,2026-01-28,987.76,AmEx,Completed,SampleGen
42af182b-4f01-4f5d-a143-bf32ce634e96,INV-abdf7c48-57a8-4e1c-a076-78aae9b9d81e,CID-001,2026-02-15,4324.62,VISA,Completed,SampleGen
97ddbdcc-6f03-405d-aed6-0d77f6c0e4aa,INV-b060314a-b0f5-4b66-bf45-153493f25f98,CID-001,2026-02-21,1695.88,VISA,Completed,SampleGen
3663a4e5-4fa4-4900-b653-af8ce014d25f,INV-40a42848-79cc-47af-aaa2-8d60d50a8926,CID-001,2026-02-05,2187.76,MC,Completed,SampleGen
