InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-7b9fc693-e87e-43a6-a771-2bf0201b6af8,IS300000,CID-001,7b9fc693-e87e-43a6-a771-2bf0201b6af8,2026-03-16,2026-04-15,1279.95,111.99,1391.94,Paid,SampleGen
INV-bee6cc51-2d3d-4281-8637-e7ef0b8417ce,IS300001,CID-001,bee6cc51-2d3d-4281-8637-e7ef0b8417ce,2025-05-26,2025-06-25,159.98,14.0,173.98,Paid,SampleGen
INV-f78841cc-baa1-4ca2-a795-79cb7583837e,IS300002,CID-001,f78841cc-baa1-4ca2-a795-79cb7583837e,2025-01-13,2025-02-12,1699.97,148.75,1848.72,Paid,SampleGen
INV-d76c1ea6-2cc2-4411-96ed-8469273c48fe,IS300003,CID-001,d76c1ea6-2cc2-4411-96ed-8469273c48fe,2025-12-20,2026-01-19,1949.98,170.62,2120.6,Paid,SampleGen
INV-ac481cdd-89e8-452e-afef-dfda6e6d8689,IS300004,CID-001,ac481cdd-89e8-452e-afef-dfda6e6d8689,2025-11-16,2025-12-16,2099.94,183.74,2283.68,Paid,SampleGen
INV-202cae5b-70f8-4e6f-8dbf-916e13681640,IS300005,CID-001,202cae5b-70f8-4e6f-8dbf-916e13681640,2025-05-12,2025-06-11,559.96,49.0,608.96,Paid,SampleGen
INV-d0b06676-74fa-48ea-ace3-48270321474c,IS300006,CID-001,d0b06676-74fa-48ea-ace3-48270321474c,2025-03-22,2025-04-21,2139.94,187.24,2327.18,Paid,SampleGen
INV-6061371d-73e8-4efc-a2f6-50826a63492d,IS300007,CID-002,6061371d-73e8-4efc-a2f6-50826a63492d,2026-04-07,2026-05-07,1229.95,107.62,1337.57,Paid,SampleGen
INV-44a97a2f-cb8a-4a13-99be-672bb13bd53c,IS300008,CID-002,44a97a2f-cb8a-4a13-99be-672bb13bd53c,2025-01-20,2025-02-19,979.95,85.75,1065.7,Paid,SampleGen
INV-7575f997-a32a-499b-b333-e72007aa6897,IS300009,CID-003,7575f997-a32a-499b-b333-e72007aa6897,2026-01-27,2026-02-26,2599.98,227.5,2827.48,Paid,SampleGen
INV-dabc36f7-237c-4163-ba63-31464a82fc68,IS300010,CID-003,dabc36f7-237c-4163-ba63-31464a82fc68,2026-02-20,2026-03-22,899.98,78.75,978.73,Paid,SampleGen
INV-c387446a-fc53-43be-aa00-ffd57ce3fc68,IS300011,CID-003,c387446a-fc53-43be-aa00-ffd57ce3fc68,2025-05-02,2025-06-01,3099.92,271.25,3371.17,Paid,SampleGen
