ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,126,69.29,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-13
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,29,72.31,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-07
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,29,64.47,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-14
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,29,66.13,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,29,72.66,1.0,Growing,117,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,136,69.29,1.0,Growing,117,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,147,69.29,1.0,Growing,117,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,77,76.84,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,17,79.71,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,17,78.49,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-15
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,17,77.96,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-12
12,1531,Summit Breeze Jacket,Camping,2026-05-22,Weekly,17,75.33,1.0,Growing,72,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
13,1531,Summit Breeze Jacket,Camping,2026-06-01,Monthly,83,76.84,1.0,Growing,72,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23
14,1531,Summit Breeze Jacket,Camping,2026-07-01,Monthly,90,76.84,1.0,Growing,72,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-01
15,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,72,72.26,1.0,Growing,67,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
16,1541,TrekReady Hiking Boots,Camping,2026-05-01,Weekly,16,71.49,1.0,Growing,67,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24
17,1541,TrekReady Hiking Boots,Camping,2026-05-08,Weekly,16,69.38,1.0,Growing,67,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-20
18,1541,TrekReady Hiking Boots,Camping,2026-05-15,Weekly,16,69.17,1.0,Growing,67,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10
19,1541,TrekReady Hiking Boots,Camping,2026-05-22,Weekly,16,70.76,1.0,Growing,67,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-11
20,1541,TrekReady Hiking Boots,Camping,2026-06-01,Monthly,78,72.26,1.0,Growing,67,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-01
21,1541,TrekReady Hiking Boots,Camping,2026-07-01,Monthly,84,72.26,1.0,Growing,67,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-25
22,1551,BaseCamp Folding Table,Camping,2026-05-01,Monthly,64,75.14,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-20
23,1551,BaseCamp Folding Table,Camping,2026-05-01,Weekly,14,71.09,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-24
24,1551,BaseCamp Folding Table,Camping,2026-05-08,Weekly,14,72.93,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-01
25,1551,BaseCamp Folding Table,Camping,2026-05-15,Weekly,14,74.5,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-02
26,1551,BaseCamp Folding Table,Camping,2026-05-22,Weekly,14,79.27,1.0,Growing,60,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-09
27,1551,BaseCamp Folding Table,Camping,2026-06-01,Monthly,69,75.14,1.0,Growing,60,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-10
28,1551,BaseCamp Folding Table,Camping,2026-07-01,Monthly,75,75.14,1.0,Growing,60,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-11
29,1561,EcoFire Camping Stove,Camping,2026-05-01,Monthly,114,71.0,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-14
30,1561,EcoFire Camping Stove,Camping,2026-05-01,Weekly,26,71.37,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
31,1561,EcoFire Camping Stove,Camping,2026-05-08,Weekly,26,70.59,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-16
32,1561,EcoFire Camping Stove,Camping,2026-05-15,Weekly,26,74.47,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-26
33,1561,EcoFire Camping Stove,Camping,2026-05-22,Weekly,26,72.87,1.0,Growing,106,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-08
34,1561,EcoFire Camping Stove,Camping,2026-06-01,Monthly,123,71.0,1.0,Growing,106,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-21
35,1561,EcoFire Camping Stove,Camping,2026-07-01,Monthly,133,71.0,1.0,Growing,106,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-17
36,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Monthly,71,79.54,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23
37,1571,CozyNights Sleeping Bag,Camping,2026-05-01,Weekly,16,84.53,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-03
38,1571,CozyNights Sleeping Bag,Camping,2026-05-08,Weekly,16,79.2,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-25
39,1571,CozyNights Sleeping Bag,Camping,2026-05-15,Weekly,16,83.49,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-27
40,1571,CozyNights Sleeping Bag,Camping,2026-05-22,Weekly,16,77.8,1.0,Growing,66,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-10
41,1571,CozyNights Sleeping Bag,Camping,2026-06-01,Monthly,76,79.54,1.0,Growing,66,1.08,1.166,Business Growth Forecast (8% Monthly),30,,,system,2026-04-09
42,1571,CozyNights Sleeping Bag,Camping,2026-07-01,Monthly,83,79.54,1.0,Growing,66,1.08,1.26,Business Growth Forecast (8% Monthly),30,,,system,2026-04-23
43,1511,Alpine Explorer Tent,Camping,2026-05-01,Monthly,65,70.22,1.0,Growing,61,1.08,1.08,Business Growth Forecast (8% Monthly),30,,,system,2026-04-28
44,1511,Alpine Explorer Tent,Camping,2026-05-01,Weekly,15,73.31,1.0,Growing,61,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-29
45,1511,Alpine Explorer Tent,Camping,2026-05-08,Weekly,15,67.02,1.0,Growing,61,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-21
46,1511,Alpine Explorer Tent,Camping,2026-05-15,Weekly,15,68.06,1.0,Growing,61,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-05
47,1511,Alpine Explorer Tent,Camping,2026-05-22,Weekly,15,72.49,1.0,Growing,61,1.08,1.08,Business Growth Forecast (8% Monthly),7,,,system,2026-04-28
