PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
073c7541-fa98-404c-9f16-ca31c35d4b0b,INV-9e79e0a6-e964-4672-984c-507d75492d34,CID-001,2025-02-16,4612.82,AmEx,Completed,SampleGen
809b3c1a-e829-47c7-a55a-7df0a6436fa8,INV-c4816941-8a93-4345-b5df-6f6259d639b5,CID-001,2025-03-14,1144.68,VISA,Completed,SampleGen
26b9b862-7f9d-4ecb-a010-f1a54b23e8a6,INV-c2e29148-00f6-43cb-ae58-30e51ce81cdf,CID-001,2025-04-13,1560.22,MC,Completed,SampleGen
5545b455-332c-411b-be65-1e30785c20c6,INV-c25060b7-f9b8-4f3d-b233-be97c4b431c8,CID-001,2025-04-23,6404.32,Discover,Completed,SampleGen
e295956d-9cfb-4bd9-aa0a-6b2a0ed270e8,INV-6866873d-22e9-4e53-9c4b-0d1fe5634ac8,CID-001,2025-05-23,2611.68,Discover,Completed,SampleGen
bfee9b0e-da5c-4287-b1e3-7d036f32d3d1,INV-4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,CID-001,2025-06-04,890.16,Discover,Completed,SampleGen
50f24308-a362-4ab7-9c6e-f14acaa55a44,INV-f4b51a30-967c-4be1-8f81-30a363444ee0,CID-001,2025-06-26,1331.16,MC,Completed,SampleGen
70b9f3be-e947-4ffb-8e27-acb26a1d03ee,INV-95b40a27-e483-4b09-b281-81c9a4ed0427,CID-001,2025-07-01,673.98,Discover,Completed,SampleGen
5e30351b-bfb3-4d3b-8e56-ba97b82a3d8f,INV-0b8204fa-482f-427b-bc5b-ff4fd3ce2520,CID-001,2025-07-29,3001.74,MC,Completed,SampleGen
94f35f73-7b20-4932-bbbd-b1e4f4d9869e,INV-88855865-73f8-42ae-bccd-2de10e53d080,CID-001,2025-08-16,3116.16,MC,Completed,SampleGen
6388c3e5-0709-4a7d-9d86-73ef8f1aaf81,INV-9e88954b-71c1-4c5c-b3af-13f8605cb606,CID-001,2025-08-12,2919.12,MC,Completed,SampleGen
a989a238-2ee7-4a09-8885-c61d3529e98f,INV-0569b3a3-b887-4f49-a8a1-6d88502c310f,CID-001,2025-09-27,1042.84,PayPal,Completed,SampleGen
20df1c6e-fd7d-4ff9-ad8c-5330c8aa3b28,INV-c45bb149-d178-4082-83e3-7cbdfd50b74f,CID-001,2025-09-30,2204.58,VISA,Completed,SampleGen
82c1021b-2ab0-4c9d-b217-05db7326371a,INV-899e0e89-0e59-4cc0-8336-ed068bea4c1d,CID-001,2025-10-01,2365.74,PayPal,Completed,SampleGen
