AccountID,AccountNumber,CustomerID,AccountType,AccountStatus,CreatedDate,ClosedDate,Balance,Currency,Description,CreatedBy
ACCT-Ski-CID-001,ACC-CID-001-Ski,CID-001,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-001 - Ski Channel,SampleGen
ACCT-Ski-CID-002,ACC-CID-002-Ski,CID-002,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-002 - Ski Channel,SampleGen
ACCT-Ski-CID-003,ACC-CID-003-Ski,CID-003,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-003 - Ski Channel,SampleGen
ACCT-Ski-CID-004,ACC-CID-004-Ski,CID-004,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-004 - Ski Channel,SampleGen
ACCT-Ski-CID-005,ACC-CID-005-Ski,CID-005,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-005 - Ski Channel,SampleGen
ACCT-Ski-CID-006,ACC-CID-006-Ski,CID-006,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-006 - Ski Channel,SampleGen
ACCT-Ski-CID-007,ACC-CID-007-Ski,CID-007,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-007 - Ski Channel,SampleGen
ACCT-Ski-CID-008,ACC-CID-008-Ski,CID-008,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-008 - Ski Channel,SampleGen
ACCT-Ski-CID-009,ACC-CID-009-Ski,CID-009,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-009 - Ski Channel,SampleGen
ACCT-Ski-CID-010,ACC-CID-010-Ski,CID-010,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-010 - Ski Channel,SampleGen
ACCT-Ski-CID-011,ACC-CID-011-Ski,CID-011,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-011 - Ski Channel,SampleGen
ACCT-Ski-CID-012,ACC-CID-012-Ski,CID-012,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-012 - Ski Channel,SampleGen
ACCT-Ski-CID-013,ACC-CID-013-Ski,CID-013,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-013 - Ski Channel,SampleGen
ACCT-Ski-CID-014,ACC-CID-014-Ski,CID-014,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-014 - Ski Channel,SampleGen
ACCT-Ski-CID-015,ACC-CID-015-Ski,CID-015,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-015 - Ski Channel,SampleGen
ACCT-Ski-CID-016,ACC-CID-016-Ski,CID-016,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-016 - Ski Channel,SampleGen
ACCT-Ski-CID-017,ACC-CID-017-Ski,CID-017,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-017 - Ski Channel,SampleGen
ACCT-Ski-CID-018,ACC-CID-018-Ski,CID-018,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-018 - Ski Channel,SampleGen
ACCT-Ski-CID-019,ACC-CID-019-Ski,CID-019,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-019 - Ski Channel,SampleGen
