InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-8b6d2542-aa10-474c-af9f-0fe2acac1b94,IS300000,CID-001,8b6d2542-aa10-474c-af9f-0fe2acac1b94,2025-09-25,2025-10-25,3539.94,309.74,3849.68,Paid,SampleGen
INV-c65dde9e-18cd-4cce-808b-8b758856a0bf,IS300001,CID-001,c65dde9e-18cd-4cce-808b-8b758856a0bf,2025-09-28,2025-10-28,949.97,83.12,1033.09,Paid,SampleGen
INV-3472ae2f-2e4b-4c34-b771-582ee9e230c1,IS300002,CID-001,3472ae2f-2e4b-4c34-b771-582ee9e230c1,2026-01-14,2026-02-13,119.98,10.5,130.48,Paid,SampleGen
INV-3e908326-9ccb-473c-b3c7-1c3e2f7f4591,IS300003,CID-002,3e908326-9ccb-473c-b3c7-1c3e2f7f4591,2025-12-17,2026-01-16,2229.96,195.12,2425.08,Paid,SampleGen
INV-0b350610-db86-4880-a895-132222083b14,IS300004,CID-002,0b350610-db86-4880-a895-132222083b14,2025-10-27,2025-11-26,1429.97,125.12,1555.09,Paid,SampleGen
INV-5f9aff7d-1ac8-412c-b7a6-a883fee2ffd9,IS300005,CID-003,5f9aff7d-1ac8-412c-b7a6-a883fee2ffd9,2026-04-14,2026-05-14,619.97,54.25,674.22,Paid,SampleGen
INV-8f6c8f29-5a5c-4a2c-955c-1ebfac070c4b,IS300006,CID-003,8f6c8f29-5a5c-4a2c-955c-1ebfac070c4b,2025-03-21,2025-04-20,1119.97,98.0,1217.97,Paid,SampleGen
INV-980f2ff7-3e30-4466-9547-81bfe1b3af09,IS300007,CID-004,980f2ff7-3e30-4466-9547-81bfe1b3af09,2026-04-21,2026-05-21,949.95,83.12,1033.07,Paid,SampleGen
INV-e3f8f210-a71b-4fcb-8f1b-d785b6bbb674,IS300008,CID-004,e3f8f210-a71b-4fcb-8f1b-d785b6bbb674,2025-04-04,2025-05-04,569.97,49.87,619.84,Paid,SampleGen
INV-1884b995-de03-41ff-acc0-432c52a6deac,IS300009,CID-005,1884b995-de03-41ff-acc0-432c52a6deac,2026-01-09,2026-02-08,2249.96,196.86,2446.82,Paid,SampleGen
INV-eeb26e00-e831-450c-9932-b0ce6615064f,IS300010,CID-005,eeb26e00-e831-450c-9932-b0ce6615064f,2025-12-22,2026-01-21,359.98,31.5,391.48,Paid,SampleGen
INV-38a60749-9ea6-4f5c-aeb7-b82b4beea9d5,IS300011,CID-006,38a60749-9ea6-4f5c-aeb7-b82b4beea9d5,2025-03-23,2025-04-22,189.99,16.62,206.61,Paid,SampleGen
INV-20e49826-336e-42f1-88ec-ca4999fc5456,IS300012,CID-006,20e49826-336e-42f1-88ec-ca4999fc5456,2025-08-28,2025-09-27,1849.96,161.87,2011.83,Paid,SampleGen
INV-3f746d35-9d3d-48be-ae54-4216796df490,IS300013,CID-006,3f746d35-9d3d-48be-ae54-4216796df490,2025-05-16,2025-06-15,899.96,78.75,978.71,Paid,SampleGen
