InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Main,18,2,16,20,38,128,2026-04-28,151.56,LowStock,system,2025-09-28
2,1531,Summit Breeze Jacket,Camping,Regional,80,14,66,10,15,96,2026-04-29,116.07,Active,system,2025-10-17
3,1541,TrekReady Hiking Boots,Camping,Main,110,22,88,22,35,174,2026-04-29,121.2,Active,system,2025-07-28
4,1551,BaseCamp Folding Table,Camping,Backup,40,9,31,8,12,36,2026-04-29,70.32,Excess,system,2025-08-18
5,1561,EcoFire Camping Stove,Camping,Main,8,0,8,19,24,120,2026-04-28,75.11,LowStock,system,2025-12-11
6,1561,EcoFire Camping Stove,Camping,Backup,2,0,2,19,24,120,2026-04-28,75.11,Active,system,2025-12-11
7,1571,CozyNights Sleeping Bag,Camping,Main,64,9,55,28,47,155,2026-04-28,113.19,Active,system,2025-11-16
8,1511,Alpine Explorer Tent,Camping,Backup,42,5,37,7,12,36,2026-04-28,327.59,Excess,system,2025-12-30
9,1522,SummitClimber Backpack,Camping,Regional,13,2,11,21,39,98,2026-04-28,145.39,LowStock,system,2026-02-17
10,1522,SummitClimber Backpack,Camping,Backup,3,0,3,21,39,98,2026-04-28,145.39,Active,system,2026-02-17
11,1532,TrailBlaze Hiking Pants,Camping,Main,18,2,16,9,17,59,2026-04-28,67.5,Active,system,2025-12-29
12,1532,TrailBlaze Hiking Pants,Camping,Backup,8,0,8,9,17,59,2026-04-28,67.5,Active,system,2025-12-29
13,1542,TrailWalker Hiking Shoes,Camping,Main,49,8,41,24,35,171,2026-04-29,92.66,Active,system,2025-09-20
14,1542,TrailWalker Hiking Shoes,Camping,Backup,18,0,18,24,35,171,2026-04-29,92.66,Active,system,2025-09-20
15,1552,TrekMaster Camping Chair,Camping,Main,87,17,70,16,24,112,2026-04-29,54.16,Active,system,2026-01-13
16,1562,PowerBurner Camping Stove,Camping,Main,2,0,2,10,16,47,2026-04-28,137.5,LowStock,system,2025-08-05
17,1562,PowerBurner Camping Stove,Camping,Backup,0,0,0,10,16,47,2026-04-28,137.5,OutOfStock,system,2025-08-05
18,1572,MountainDream Sleeping Bag,Camping,Main,46,7,39,8,14,72,2026-04-29,205.16,Active,system,2026-01-04
19,1512,SkyView 2-Person Tent,Camping,Main,45,5,40,16,28,81,2026-04-29,251.46,Active,system,2025-09-21
20,1512,SkyView 2-Person Tent,Camping,Backup,20,0,20,16,28,81,2026-04-29,251.46,Active,system,2025-09-21
21,1523,TrailLite Daypack,Camping,Main,63,9,54,31,42,107,2026-04-29,53.51,Active,system,2026-02-09
22,1523,TrailLite Daypack,Camping,Backup,23,0,23,31,42,107,2026-04-29,53.51,Active,system,2026-02-09
23,1533,RainGuard Hiking Jacket,Camping,Main,33,8,25,20,28,169,2026-04-28,116.73,Active,system,2025-10-07
24,1543,TrekStar Hiking Sandals,Camping,Main,74,18,56,21,25,101,2026-04-29,69.04,Active,system,2026-01-31
25,1553,Adventure Dining Table,Camping,Regional,178,35,143,38,48,150,2026-04-29,112.72,Excess,system,2025-10-13
26,1563,CompactCook Camping Stove,Camping,Backup,36,5,31,25,47,78,2026-04-29,74.56,Active,system,2026-01-27
27,1581,LED Headlamp - Rechargeable,Camping,Main,149,43,106,42,60,217,2026-04-28,58.54,Active,system,2025-09-15
28,2011,Coffee Maker,Kitchen,Main,183,22,161,32,50,190,2026-04-29,127.27,Active,system,2025-09-06
29,2012,Espresso Machine,Kitchen,Main,32,3,29,11,14,51,2026-04-28,315.48,Active,system,2026-03-14
30,2012,Espresso Machine,Kitchen,Backup,14,0,14,11,14,51,2026-04-28,315.48,Active,system,2026-03-14
31,2021,Chef Knife,Kitchen,Main,45,11,34,8,13,48,2026-04-28,54.35,Active,system,2025-07-15
32,2022,Fork Set,Kitchen,Main,2,0,2,21,30,117,2026-04-28,30.45,LowStock,system,2025-09-10
33,2031,Coffee Mug,Kitchen,Main,80,20,60,15,19,99,2026-04-29,22.37,Active,system,2026-02-17
34,2041,Serving Platter,Kitchen,Backup,84,23,61,33,54,164,2026-04-29,42.82,Active,system,2025-09-18
35,2051,Ice Cream Bowl,Kitchen,Main,52,11,41,20,34,155,2026-04-28,18.17,Active,system,2025-11-10
36,2061,Mixing Bowl,Kitchen,Main,29,8,21,24,39,160,2026-04-28,25.99,Active,system,2025-12-28
37,2061,Mixing Bowl,Kitchen,Backup,7,0,7,24,39,160,2026-04-28,25.99,Active,system,2025-12-28
38,2071,Baking Pan,Kitchen,Main,21,4,17,27,34,136,2026-04-28,17.67,LowStock,system,2026-02-17
39,2081,Food Storage Set,Kitchen,Main,53,12,41,9,16,48,2026-04-29,27.66,Excess,system,2025-12-23
40,2091,Spatula,Kitchen,Main,57,10,47,27,39,109,2026-04-28,9.76,Active,system,2025-09-27
41,2091,Spatula,Kitchen,Backup,22,0,22,27,39,109,2026-04-28,9.76,Active,system,2025-09-27
42,2101,Measuring Cup Set,Kitchen,Main,63,9,54,25,44,114,2026-04-28,13.33,Active,system,2025-08-07
43,2111,High-Speed Blender,Kitchen,Main,70,8,62,13,23,84,2026-04-28,147.2,Active,system,2025-11-30
44,2112,4-Slice Toaster,Kitchen,Main,183,26,157,24,43,168,2026-04-29,69.39,Excess,system,2025-10-10
45,2112,4-Slice Toaster,Kitchen,Backup,46,0,46,24,43,168,2026-04-29,69.39,Active,system,2025-10-10
46,2121,Bamboo Cutting Board Set,Kitchen,Main,43,9,34,12,20,57,2026-04-29,30.3,Active,system,2026-03-14
47,2121,Bamboo Cutting Board Set,Kitchen,Backup,19,0,19,12,20,57,2026-04-29,30.3,Active,system,2026-03-14
48,3011,Alpine Pro Racing Skis - 170cm,Ski,Backup,22,6,16,25,40,133,2026-04-29,917.54,LowStock,system,2025-07-10
