AccountID,AccountNumber,CustomerID,AccountType,AccountStatus,CreatedDate,ClosedDate,Balance,Currency,Description,CreatedBy
ACCT-Kitchen-CID-001,ACC-CID-001-Kitchen,CID-001,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-001 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-002,ACC-CID-002-Kitchen,CID-002,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-002 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-003,ACC-CID-003-Kitchen,CID-003,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-003 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-004,ACC-CID-004-Kitchen,CID-004,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-004 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-005,ACC-CID-005-Kitchen,CID-005,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-005 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-006,ACC-CID-006-Kitchen,CID-006,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-006 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-008,ACC-CID-008-Kitchen,CID-008,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-008 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-009,ACC-CID-009-Kitchen,CID-009,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-009 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-010,ACC-CID-010-Kitchen,CID-010,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-010 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-011,ACC-CID-011-Kitchen,CID-011,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-011 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-012,ACC-CID-012-Kitchen,CID-012,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-012 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-013,ACC-CID-013-Kitchen,CID-013,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-013 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-014,ACC-CID-014-Kitchen,CID-014,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-014 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-015,ACC-CID-015-Kitchen,CID-015,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-015 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-016,ACC-CID-016-Kitchen,CID-016,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-016 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-017,ACC-CID-017-Kitchen,CID-017,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-017 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-020,ACC-CID-020-Kitchen,CID-020,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-020 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-021,ACC-CID-021-Kitchen,CID-021,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-021 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-023,ACC-CID-023-Kitchen,CID-023,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-023 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-024,ACC-CID-024-Kitchen,CID-024,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-024 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-026,ACC-CID-026-Kitchen,CID-026,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-026 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-027,ACC-CID-027-Kitchen,CID-027,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-027 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-029,ACC-CID-029-Kitchen,CID-029,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-029 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-032,ACC-CID-032-Kitchen,CID-032,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-032 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-033,ACC-CID-033-Kitchen,CID-033,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-033 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-034,ACC-CID-034-Kitchen,CID-034,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-034 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-035,ACC-CID-035-Kitchen,CID-035,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-035 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-036,ACC-CID-036-Kitchen,CID-036,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-036 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-037,ACC-CID-037-Kitchen,CID-037,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-037 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-038,ACC-CID-038-Kitchen,CID-038,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-038 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-039,ACC-CID-039-Kitchen,CID-039,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-039 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-040,ACC-CID-040-Kitchen,CID-040,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-040 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-041,ACC-CID-041-Kitchen,CID-041,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-041 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-042,ACC-CID-042-Kitchen,CID-042,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-042 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-043,ACC-CID-043-Kitchen,CID-043,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-043 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-044,ACC-CID-044-Kitchen,CID-044,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-044 - Kitchen Channel,SampleGen
ACCT-Kitchen-CID-046,ACC-CID-046-Kitchen,CID-046,Receivable,Active,2025-01-01,,0.0,USD,Accounts Receivable for Customer CID-046 - Kitchen Channel,SampleGen
