InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-9e79e0a6-e964-4672-984c-507d75492d34,ID200000,CID-001,9e79e0a6-e964-4672-984c-507d75492d34,2025-02-17,2025-03-19,4351.7,261.12,4612.82,Issued,SampleGen
INV-c4816941-8a93-4345-b5df-6f6259d639b5,ID200001,CID-001,c4816941-8a93-4345-b5df-6f6259d639b5,2025-03-15,2025-04-14,1079.88,64.8,1144.68,Issued,SampleGen
INV-c2e29148-00f6-43cb-ae58-30e51ce81cdf,ID200002,CID-001,c2e29148-00f6-43cb-ae58-30e51ce81cdf,2025-04-14,2025-05-14,1471.9,88.32,1560.22,Issued,SampleGen
INV-c25060b7-f9b8-4f3d-b233-be97c4b431c8,ID200003,CID-001,c25060b7-f9b8-4f3d-b233-be97c4b431c8,2025-04-24,2025-05-24,6041.8,362.52,6404.32,Issued,SampleGen
INV-6866873d-22e9-4e53-9c4b-0d1fe5634ac8,ID200004,CID-001,6866873d-22e9-4e53-9c4b-0d1fe5634ac8,2025-05-24,2025-06-23,2463.84,147.84,2611.68,Issued,SampleGen
INV-4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,ID200005,CID-001,4f2d1ba3-da98-492d-b5d8-fd2cc8f1ef8a,2025-06-05,2025-07-05,839.76,50.4,890.16,Issued,SampleGen
INV-f4b51a30-967c-4be1-8f81-30a363444ee0,ID200006,CID-001,f4b51a30-967c-4be1-8f81-30a363444ee0,2025-06-27,2025-07-27,1255.8,75.36,1331.16,Issued,SampleGen
INV-95b40a27-e483-4b09-b281-81c9a4ed0427,ID200007,CID-001,95b40a27-e483-4b09-b281-81c9a4ed0427,2025-07-02,2025-08-01,635.82,38.16,673.98,Issued,SampleGen
INV-0b8204fa-482f-427b-bc5b-ff4fd3ce2520,ID200008,CID-001,0b8204fa-482f-427b-bc5b-ff4fd3ce2520,2025-07-30,2025-08-29,2831.82,169.92,3001.74,Issued,SampleGen
INV-88855865-73f8-42ae-bccd-2de10e53d080,ID200009,CID-001,88855865-73f8-42ae-bccd-2de10e53d080,2025-08-17,2025-09-16,2939.76,176.4,3116.16,Issued,SampleGen
INV-9e88954b-71c1-4c5c-b3af-13f8605cb606,ID200010,CID-001,9e88954b-71c1-4c5c-b3af-13f8605cb606,2025-08-13,2025-09-12,2753.88,165.24,2919.12,Issued,SampleGen
INV-0569b3a3-b887-4f49-a8a1-6d88502c310f,ID200011,CID-001,0569b3a3-b887-4f49-a8a1-6d88502c310f,2025-09-28,2025-10-28,983.8,59.04,1042.84,Issued,SampleGen
INV-c45bb149-d178-4082-83e3-7cbdfd50b74f,ID200012,CID-001,c45bb149-d178-4082-83e3-7cbdfd50b74f,2025-10-01,2025-10-31,2079.78,124.8,2204.58,Issued,SampleGen
