PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,3104,Ski Tuning Bench - Portable,Ski,42,,147.78,6206.76,Shipped,2026-03-31,,Supplier SKU: FAB-3104,system,2026-03-16
2,1,PO-2026-0001,3102,Winter Hiking Boots - Waterproof,Ski,101,,163.66,16529.66,Shipped,2026-03-31,,Supplier SKU: FAB-3102,system,2026-03-16
3,2,PO-2026-0002,2041,Serving Platter,Kitchen,32,32.0,42.82,1370.24,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2041,system,2026-03-27
4,2,PO-2026-0002,2021,Chef Knife,Kitchen,8,8.0,54.35,434.8,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2021,system,2026-03-27
5,2,PO-2026-0002,2051,Ice Cream Bowl,Kitchen,5,5.0,18.17,90.85,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2051,system,2026-03-27
6,2,PO-2026-0002,2011,Coffee Maker,Kitchen,56,56.0,127.27,7127.12,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2011,system,2026-03-27
7,2,PO-2026-0002,2061,Mixing Bowl,Kitchen,54,54.0,25.99,1403.46,Received,2026-04-04,2026-04-06,Supplier SKU: PRO-2061,system,2026-03-27
8,3,PO-2026-0003,3021,Nordic Classic XC Skis - 185cm,Ski,49,49.0,270.89,13273.61,Received,2026-02-28,2026-02-28,Supplier SKU: FAB-3021,system,2026-02-13
9,3,PO-2026-0003,3102,Winter Hiking Boots - Waterproof,Ski,155,155.0,163.66,25367.3,Received,2026-02-28,2026-02-28,Supplier SKU: FAB-3102,system,2026-02-13
10,3,PO-2026-0003,3071,Ski Boot Bag - Premium,Ski,39,39.0,41.25,1608.75,Received,2026-02-28,2026-02-28,Supplier SKU: FAB-3071,system,2026-02-13
11,3,PO-2026-0003,3104,Ski Tuning Bench - Portable,Ski,28,28.0,147.78,4137.84,Received,2026-02-28,2026-02-28,Supplier SKU: FAB-3104,system,2026-02-13
12,4,PO-2026-0004,3101,Winter Boots - Insulated,Ski,49,49.0,97.44,4774.56,Received,2026-03-29,2026-04-01,Supplier SKU: ALP-3101,system,2026-03-19
13,5,PO-2026-0005,1551,BaseCamp Folding Table,Camping,10,,70.32,703.2,Pending,2026-05-05,,Supplier SKU: CON-1551,system,2026-04-23
14,5,PO-2026-0005,1541,TrekReady Hiking Boots,Camping,98,,121.2,11877.6,Pending,2026-05-05,,Supplier SKU: CON-1541,system,2026-04-23
15,5,PO-2026-0005,1523,TrailLite Daypack,Camping,3,,53.51,160.53,Pending,2026-05-05,,Supplier SKU: CON-1523,system,2026-04-23
16,5,PO-2026-0005,1531,Summit Breeze Jacket,Camping,5,,116.07,580.35,Pending,2026-05-05,,Supplier SKU: CON-1531,system,2026-04-23
17,6,PO-2026-0006,1523,TrailLite Daypack,Camping,3,3.0,53.51,160.53,Received,2026-04-06,2026-04-08,Supplier SKU: CON-1523,system,2026-03-27
18,6,PO-2026-0006,1561,EcoFire Camping Stove,Camping,23,23.0,75.11,1727.53,Received,2026-04-06,2026-04-08,Supplier SKU: CON-1561,system,2026-03-27
19,6,PO-2026-0006,1522,SummitClimber Backpack,Camping,4,4.0,145.39,581.56,Received,2026-04-06,2026-04-08,Supplier SKU: CON-1522,system,2026-03-27
20,6,PO-2026-0006,1521,Adventurer Pro Backpack,Camping,125,125.0,151.17,18896.25,Received,2026-04-06,2026-04-08,Supplier SKU: CON-1521,system,2026-03-27
21,6,PO-2026-0006,1532,TrailBlaze Hiking Pants,Camping,3,3.0,59.62,178.86,Received,2026-04-06,2026-04-08,Supplier SKU: CON-1532,system,2026-03-27
22,7,PO-2026-0007,1533,RainGuard Hiking Jacket,Camping,23,23.0,116.73,2684.79,Received,2026-04-12,2026-04-14,Supplier SKU: CON-1533,system,2026-03-31
23,8,PO-2026-0008,3033,Women's Performance Ski Boots,Ski,67,67.0,419.69,28119.23,Received,2026-03-01,2026-03-01,Supplier SKU: WOR-3033,system,2026-02-09
24,8,PO-2026-0008,1563,CompactCook Camping Stove,Camping,246,246.0,74.3,18277.8,Received,2026-03-01,2026-03-01,Supplier SKU: WOR-1563,system,2026-02-09
25,8,PO-2026-0008,2091,Spatula,Kitchen,3,3.0,9.18,27.54,Received,2026-03-01,2026-03-01,Supplier SKU: WOR-2091,system,2026-02-09
26,8,PO-2026-0008,1521,Adventurer Pro Backpack,Camping,79,79.0,151.95,12004.05,Received,2026-03-01,2026-03-01,Supplier SKU: WOR-1521,system,2026-02-09
27,8,PO-2026-0008,1532,TrailBlaze Hiking Pants,Camping,4,4.0,75.38,301.52,Received,2026-03-01,2026-03-01,Supplier SKU: WOR-1532,system,2026-02-09
28,9,PO-2026-0009,2111,High-Speed Blender,Kitchen,5,5.0,147.2,736.0,Received,2026-04-05,2026-04-08,Supplier SKU: PRO-2111,system,2026-03-27
29,9,PO-2026-0009,2081,Food Storage Set,Kitchen,113,113.0,27.66,3125.58,Received,2026-04-05,2026-04-08,Supplier SKU: PRO-2081,system,2026-03-27
30,9,PO-2026-0009,2011,Coffee Maker,Kitchen,79,79.0,127.27,10054.33,Received,2026-04-05,2026-04-08,Supplier SKU: PRO-2011,system,2026-03-27
31,9,PO-2026-0009,2071,Baking Pan,Kitchen,3,3.0,17.67,53.01,Received,2026-04-05,2026-04-08,Supplier SKU: PRO-2071,system,2026-03-27
32,10,PO-2026-0010,2041,Serving Platter,Kitchen,116,90.0,42.82,4967.12,Backordered,2026-04-13,2026-04-13,Supplier SKU: PRO-2041,system,2026-04-05
33,11,PO-2026-0011,2061,Mixing Bowl,Kitchen,64,64.0,25.99,1663.36,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2061,system,2026-03-15
34,11,PO-2026-0011,2031,Coffee Mug,Kitchen,17,17.0,22.37,380.29,Received,2026-03-29,2026-04-01,Supplier SKU: PRO-2031,system,2026-03-15
35,11,PO-2026-0011,2071,Baking Pan,Kitchen,4,2.0,17.67,70.68,Backordered,2026-03-29,2026-04-01,Supplier SKU: PRO-2071,system,2026-03-15
36,12,PO-2026-0012,1532,TrailBlaze Hiking Pants,Camping,4,,75.38,301.52,Pending,2026-05-14,,Supplier SKU: WOR-1532,system,2026-04-25
37,13,PO-2026-0013,3021,Nordic Classic XC Skis - 185cm,Ski,19,19.0,249.19,4734.61,Received,2026-03-27,2026-03-27,Supplier SKU: WOR-3021,system,2026-03-03
38,13,PO-2026-0013,2091,Spatula,Kitchen,3,3.0,9.18,27.54,Received,2026-03-27,2026-03-27,Supplier SKU: WOR-2091,system,2026-03-03
39,13,PO-2026-0013,1532,TrailBlaze Hiking Pants,Camping,1,1.0,75.38,75.38,Received,2026-03-27,2026-03-27,Supplier SKU: WOR-1532,system,2026-03-03
40,13,PO-2026-0013,1521,Adventurer Pro Backpack,Camping,57,57.0,151.95,8661.15,Received,2026-03-27,2026-03-27,Supplier SKU: WOR-1521,system,2026-03-03
41,14,PO-2026-0014,1532,TrailBlaze Hiking Pants,Camping,1,1.0,59.62,59.62,Received,2026-04-19,2026-04-19,Supplier SKU: CON-1532,system,2026-04-08
42,14,PO-2026-0014,1533,RainGuard Hiking Jacket,Camping,25,25.0,116.73,2918.25,Received,2026-04-19,2026-04-19,Supplier SKU: CON-1533,system,2026-04-08
43,14,PO-2026-0014,1541,TrekReady Hiking Boots,Camping,83,83.0,121.2,10059.6,Received,2026-04-19,2026-04-19,Supplier SKU: CON-1541,system,2026-04-08
44,14,PO-2026-0014,1553,Adventure Dining Table,Camping,6,6.0,112.72,676.32,Received,2026-04-19,2026-04-19,Supplier SKU: CON-1553,system,2026-04-08
45,14,PO-2026-0014,1551,BaseCamp Folding Table,Camping,26,26.0,70.32,1828.32,Received,2026-04-19,2026-04-19,Supplier SKU: CON-1551,system,2026-04-08
46,15,PO-2026-0015,1542,TrailWalker Hiking Shoes,Camping,14,14.0,92.66,1297.24,Received,2026-03-08,2026-03-08,Supplier SKU: CON-1542,system,2026-02-23
47,15,PO-2026-0015,1533,RainGuard Hiking Jacket,Camping,33,33.0,116.73,3852.09,Received,2026-03-08,2026-03-08,Supplier SKU: CON-1533,system,2026-02-23
