PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,5,Fabrikam,2026-03-16,2026-03-31,,InTransit,22736.42,Regional DC,supply_manager,High,Order for Ski products,system,2026-03-16
2,PO-2026-0002,2,Proseware Inc,2026-03-27,2026-04-04,2026-04-06,Delivered,10426.47,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2026-03-27
3,PO-2026-0003,5,Fabrikam,2026-02-13,2026-02-28,2026-02-28,Delivered,44387.5,Backup Warehouse,supply_manager,Emergency,Order for Ski products,system,2026-02-13
4,PO-2026-0004,3,Alpine Ski House,2026-03-19,2026-03-29,2026-04-01,Delivered,4774.56,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-03-19
5,PO-2026-0005,1,Contoso Ltd,2026-04-23,2026-05-05,,Sent,13321.68,Backup Warehouse,buyer1,High,Order for Camping products,system,2026-04-23
6,PO-2026-0006,1,Contoso Ltd,2026-03-27,2026-04-06,2026-04-08,Delivered,21544.73,Backup Warehouse,buyer2,Medium,Order for Camping products,system,2026-03-27
7,PO-2026-0007,1,Contoso Ltd,2026-03-31,2026-04-12,2026-04-14,Delivered,2684.79,Backup Warehouse,supply_manager,Low,Order for Camping products,system,2026-03-31
8,PO-2026-0008,4,Worldwide Importers,2026-02-09,2026-03-01,2026-03-01,Delivered,58730.14,Backup Warehouse,buyer2,High,Multi-category order,system,2026-02-09
9,PO-2026-0009,2,Proseware Inc,2026-03-27,2026-04-05,2026-04-08,Delivered,13968.92,Regional DC,buyer1,High,Order for Kitchen products,system,2026-03-27
10,PO-2026-0010,2,Proseware Inc,2026-04-05,2026-04-13,2026-04-13,Delivered,4967.12,Main Warehouse,supply_manager,Medium,Order for Kitchen products,system,2026-04-05
11,PO-2026-0011,2,Proseware Inc,2026-03-15,2026-03-29,2026-04-01,Delivered,2114.33,Backup Warehouse,supply_manager,Medium,Order for Kitchen products,system,2026-03-15
