PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
c37e3eb5-eb19-4bd3-8349-0784c37b8283,d4280377-1f54-4009-b8a2-966cb5ede599,CID-001,2025-01-24,418.66,AmEx,Completed,SampleGen
8ddac867-462d-4aab-be78-b4327c7ada1e,3c499f2b-76de-498b-b2df-b4b019deec44,CID-001,2025-02-26,1054.78,VISA,Completed,SampleGen
9a5ba91c-4791-4ac5-bad1-47a07e31cdd9,4b106e6e-5d27-4cad-9fc4-2642110bd6cc,CID-001,2025-03-12,1261.41,MC,Completed,SampleGen
31fbead3-e68c-4943-af65-0025f08ea643,2ce57800-178d-4db1-8b4d-62a39660b44d,CID-001,2025-04-25,407.76,VISA,Completed,SampleGen
e0d9b79b-6073-47ba-8c65-bde30069c23e,dc7f6765-1dcd-4600-9a42-9b0db26df837,CID-001,2025-05-24,1419.09,VISA,Completed,SampleGen
3230e77e-b9f0-4493-97ae-ab3d8af9ea08,bd725739-cdd3-4191-a9c8-c87c547cdd4e,CID-001,2025-06-24,1500.68,MC,Completed,SampleGen
65ab68e0-bb94-487d-bc5e-c1c4782daff6,67a13dc1-837c-4fec-9d6e-db5564b823a0,CID-001,2025-07-27,206.61,VISA,Completed,SampleGen
ea07a78d-d13f-4bf1-978b-5c6a6ec7ece1,9d0fe3c0-abc5-47ec-9241-e6d5c178a006,CID-001,2025-08-11,1587.66,VISA,Completed,SampleGen
05c773bc-bd35-4d4b-b0d0-0f379a3b8833,cbfc9101-2ec4-414d-83e8-b8b72941cb64,CID-001,2025-10-01,1022.18,MC,Completed,SampleGen
6847dd9a-1ab6-400d-9a51-9a4ed9becb8f,a2e94512-723c-4810-9bdc-8eceba38500d,CID-001,2025-10-05,848.19,MC,Completed,SampleGen
06bf3f4f-fd03-4838-a28f-32faad37a733,45cc3318-76a8-483c-a112-7b09a2b95e64,CID-001,2025-11-19,1761.67,PayPal,Completed,SampleGen
705c774a-e41e-44b7-80b2-3382bf881dab,79fc33b8-fcf4-48cd-8f76-c62d416c4d6a,CID-001,2025-12-30,1217.94,AmEx,Completed,SampleGen
9a5c4c1f-ffd4-417f-8a4c-c4feb4c8a657,a9630d22-e824-458b-8001-94f94285dc22,CID-001,2026-01-15,619.84,VISA,Completed,SampleGen
2705df6d-12af-435e-844b-f4e95f199400,63de68a8-a408-4123-949c-aebe3b0ffa68,CID-001,2026-02-23,271.84,VISA,Completed,SampleGen
7c35f229-e853-4cb8-b6ff-597db5bc15fa,f42fc1cd-dc38-4283-8a6c-3f8502f34be4,CID-001,2026-03-04,1696.4,VISA,Completed,SampleGen
af6f975c-47cf-49b8-bda8-67a504bf2fc1,af882dbb-7596-445c-9166-b5bed50b1ad3,CID-001,2026-04-02,880.82,AmEx,Completed,SampleGen
504c6308-36be-4222-9776-7a384b00fd18,904d6620-74ca-4c57-a6d4-f2be88737ca9,CID-002,2025-02-01,206.61,VISA,Completed,SampleGen
90d25b4e-c8b2-4857-8b5e-292d8c4521c2,983b6a11-9e22-4dd3-883a-be632234c22f,CID-002,2025-02-03,1761.63,MC,Completed,SampleGen
9ea43cf2-51c6-4ce6-8b1b-5d14a4f7c8fc,3a456067-63c8-4ce8-9a0d-76afcc28156e,CID-002,2025-03-05,1794.31,VISA,Completed,SampleGen
76eb8ebe-ee0a-46c8-8619-b4042af69921,cca75e54-e11e-4efb-8528-7f2c9a79c829,CID-002,2025-04-24,1239.69,VISA,Completed,SampleGen
bed23884-0662-4b30-8d6a-1f213fc90148,d0aa3190-9ecc-49f5-b24e-f3cc29f06b81,CID-002,2025-05-10,826.45,VISA,Completed,SampleGen
22c10b9e-6720-49da-aeb2-b8910f5bf154,6aaa9535-0d30-4fac-b564-cee2c68c0a0a,CID-002,2025-06-18,891.71,MC,Completed,SampleGen
ae51c5d9-41ce-4310-a624-19e6b6cbb4f7,89abaa1d-d9c5-4449-a10a-e2973587cf03,CID-002,2025-07-06,97.86,AmEx,Completed,SampleGen
06d09566-a7ed-4fe4-a04d-04c91550cdf8,7d796964-d98c-45b4-bbfd-6ea499b9d0f6,CID-002,2025-08-18,1642.04,VISA,Completed,SampleGen
4f43e171-10eb-49ad-8ba9-a44073573c2d,d53d3580-3b95-470b-b2de-90c77a7856e3,CID-002,2025-09-28,619.83,VISA,Completed,SampleGen
10752859-707c-45c0-a04a-c083e51df609,fa398894-2b01-472f-83ba-243cf9acac3c,CID-002,2025-10-15,1810.6,VISA,Completed,SampleGen
c567d98e-56a8-4173-9b93-d8adcf86b033,1a61833a-d095-4fa8-b7d1-e983e0a7e6b7,CID-002,2025-11-24,2816.5,Discover,Completed,SampleGen
d75cc443-5e16-4caf-a145-f263cd877be7,f00ccffa-a091-4173-bc8a-9f5d6a917075,CID-002,2025-12-18,1718.16,VISA,Completed,SampleGen
ddbfa127-a232-40be-9f73-b84f1d9e890c,0b0fcc0e-2025-4e3d-a91b-b860d945f97d,CID-002,2026-01-24,1261.45,PayPal,Completed,SampleGen
edf1a9da-79c7-4d90-a929-251d5eef73e6,2c8f583c-ffcc-4772-9c57-41c4bb6651ec,CID-002,2026-02-08,347.98,PayPal,Completed,SampleGen
3f6108f5-9a76-4ca2-8fc3-6e3bb9bc9f74,10d653f9-ffc9-47e5-a827-5aac20420941,CID-002,2026-03-08,1120.07,MC,Completed,SampleGen
448e2d6d-a2f7-4120-8e5b-e0e924949277,d0d27e33-8311-40df-8877-b1222dc96b5f,CID-002,2026-04-17,1680.09,AmEx,Completed,SampleGen
