InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-73606716-a5e6-45ab-9da4-878056e6bdd7,ID200000,CID-001,73606716-a5e6-45ab-9da4-878056e6bdd7,2025-01-14,2025-02-13,2209.8,132.6,2342.4,Issued,SampleGen
INV-5f44a210-75d6-49d1-a2a6-009b4d01e27b,ID200001,CID-001,5f44a210-75d6-49d1-a2a6-009b4d01e27b,2025-02-20,2025-03-22,271.92,16.32,288.24,Issued,SampleGen
INV-96aa5a16-dbe2-4174-9d38-574969e7687e,ID200002,CID-001,96aa5a16-dbe2-4174-9d38-574969e7687e,2025-02-11,2025-03-13,4817.72,289.08,5106.8,Issued,SampleGen
INV-bf06286f-f0c4-4e4b-80aa-c5855eaab496,ID200003,CID-001,bf06286f-f0c4-4e4b-80aa-c5855eaab496,2025-03-31,2025-04-30,435.86,26.16,462.02,Issued,SampleGen
INV-d7c967ad-fbf0-4d15-8934-799f21682852,ID200004,CID-001,d7c967ad-fbf0-4d15-8934-799f21682852,2025-04-16,2025-05-16,5347.76,320.88,5668.64,Issued,SampleGen
INV-ea948efe-613b-4835-bb2d-9d5d94d7d95b,ID200005,CID-001,ea948efe-613b-4835-bb2d-9d5d94d7d95b,2025-04-21,2025-05-21,823.84,49.44,873.28,Issued,SampleGen
INV-4ea3a8fe-602e-410c-8d36-e8956541e493,ID200006,CID-001,4ea3a8fe-602e-410c-8d36-e8956541e493,2025-05-23,2025-06-22,1971.76,118.32,2090.08,Issued,SampleGen
INV-9985fb2a-0ccc-4640-a390-64800df3f839,ID200007,CID-001,9985fb2a-0ccc-4640-a390-64800df3f839,2025-06-01,2025-07-01,5871.84,352.32,6224.16,Issued,SampleGen
INV-285ae808-2029-40af-b4c7-37a35e3ba31e,ID200008,CID-001,285ae808-2029-40af-b4c7-37a35e3ba31e,2025-05-07,2025-06-06,7367.72,442.08,7809.8,Issued,SampleGen
INV-4b0f494f-a7c0-40fa-86f4-9ec4df994c51,ID200009,CID-001,4b0f494f-a7c0-40fa-86f4-9ec4df994c51,2025-06-24,2025-07-24,471.88,28.32,500.2,Issued,SampleGen
INV-d61bc932-7e88-4ba5-bb96-59aec4736b5b,ID200010,CID-001,d61bc932-7e88-4ba5-bb96-59aec4736b5b,2025-06-06,2025-07-06,1239.76,74.4,1314.16,Issued,SampleGen
INV-da42aea9-8d23-4170-b0d8-d31e3e29e286,ID200011,CID-001,da42aea9-8d23-4170-b0d8-d31e3e29e286,2025-06-26,2025-07-26,4399.8,264.0,4663.8,Issued,SampleGen
INV-58ef5de1-81ad-4805-8a1a-125ec6520890,ID200012,CID-001,58ef5de1-81ad-4805-8a1a-125ec6520890,2025-07-20,2025-08-19,2663.84,159.84,2823.68,Issued,SampleGen
INV-4fec233a-81da-42b4-82a1-8aaf68bc1457,ID200013,CID-001,4fec233a-81da-42b4-82a1-8aaf68bc1457,2025-07-26,2025-08-25,1091.88,65.52,1157.4,Issued,SampleGen
INV-fdd7d26f-0ce1-40ed-b82a-ac92e7c1825e,ID200014,CID-001,fdd7d26f-0ce1-40ed-b82a-ac92e7c1825e,2025-08-11,2025-09-10,2619.8,157.2,2777.0,Issued,SampleGen
INV-867a9d88-0e3e-4738-b0f1-c93cfa9cfede,ID200015,CID-001,867a9d88-0e3e-4738-b0f1-c93cfa9cfede,2025-08-10,2025-09-09,4283.72,257.04,4540.76,Issued,SampleGen
INV-e37336eb-4c52-4d51-9017-c843a5e9428a,ID200016,CID-001,e37336eb-4c52-4d51-9017-c843a5e9428a,2025-09-01,2025-10-01,3787.74,227.28,4015.02,Issued,SampleGen
INV-21bb7d7a-4ccd-45f7-8cee-653cb213f1d2,ID200017,CID-001,21bb7d7a-4ccd-45f7-8cee-653cb213f1d2,2025-09-13,2025-10-13,1089.76,65.4,1155.16,Issued,SampleGen
INV-deb78467-66f8-4e7a-8f8a-bd468215f987,ID200018,CID-001,deb78467-66f8-4e7a-8f8a-bd468215f987,2025-09-14,2025-10-14,4263.78,255.84,4519.62,Issued,SampleGen
INV-25f8680d-d67f-4311-b41d-f5b0a2dfec34,ID200019,CID-001,25f8680d-d67f-4311-b41d-f5b0a2dfec34,2025-09-27,2025-10-27,1577.74,94.68,1672.42,Issued,SampleGen
INV-f7ee12ff-1054-462c-b50e-1a397d9187bf,ID200020,CID-001,f7ee12ff-1054-462c-b50e-1a397d9187bf,2025-10-16,2025-11-15,2881.74,172.92,3054.66,Issued,SampleGen
INV-b4a64c6d-bbbc-48de-9d99-d24d907ef94a,ID200021,CID-001,b4a64c6d-bbbc-48de-9d99-d24d907ef94a,2025-10-14,2025-11-13,387.92,23.28,411.2,Issued,SampleGen
INV-7dc85bc4-2d5c-42c6-b177-fc55159f2643,ID200022,CID-001,7dc85bc4-2d5c-42c6-b177-fc55159f2643,2025-10-27,2025-11-26,2831.88,169.92,3001.8,Issued,SampleGen
INV-0f21639c-3e13-43cd-b91f-7e9ccda72785,ID200023,CID-001,0f21639c-3e13-43cd-b91f-7e9ccda72785,2025-10-29,2025-11-28,1419.82,85.2,1505.02,Issued,SampleGen
INV-0617007f-b549-4b7e-9192-ea28e63656ed,ID200024,CID-001,0617007f-b549-4b7e-9192-ea28e63656ed,2025-11-23,2025-12-23,3783.82,227.04,4010.86,Issued,SampleGen
INV-b64a0d39-4dd0-412c-8959-ebe70af2256f,ID200025,CID-001,b64a0d39-4dd0-412c-8959-ebe70af2256f,2025-11-14,2025-12-14,1839.84,110.4,1950.24,Issued,SampleGen
INV-9171bdad-5bb6-4abb-8726-0b170723230b,ID200026,CID-001,9171bdad-5bb6-4abb-8726-0b170723230b,2025-11-24,2025-12-24,6011.8,360.72,6372.52,Issued,SampleGen
INV-92d54da8-4314-4bc1-9bd6-7d448676cac5,ID200027,CID-001,92d54da8-4314-4bc1-9bd6-7d448676cac5,2025-12-24,2026-01-23,2183.84,131.04,2314.88,Issued,SampleGen
INV-ef36b35a-9db1-4fc9-a6f2-9e54782813ec,ID200028,CID-001,ef36b35a-9db1-4fc9-a6f2-9e54782813ec,2025-12-03,2026-01-02,771.8,46.32,818.12,Issued,SampleGen
INV-b2ff3aab-c0e6-49e0-8e1a-67203609ba11,ID200029,CID-001,b2ff3aab-c0e6-49e0-8e1a-67203609ba11,2025-12-19,2026-01-18,2659.86,159.6,2819.46,Issued,SampleGen
INV-526fcf0e-4d7a-4b39-a62f-a429e119a2ad,ID200030,CID-001,526fcf0e-4d7a-4b39-a62f-a429e119a2ad,2026-01-10,2026-02-09,949.8,57.0,1006.8,Issued,SampleGen
INV-02e5e5e1-f65c-4918-99a3-31a8383cb308,ID200031,CID-001,02e5e5e1-f65c-4918-99a3-31a8383cb308,2026-01-06,2026-02-05,869.86,52.2,922.06,Issued,SampleGen
INV-9f0099a5-0b76-41da-bbe6-9d4459bc72f0,ID200032,CID-001,9f0099a5-0b76-41da-bbe6-9d4459bc72f0,2026-01-13,2026-02-12,823.84,49.44,873.28,Issued,SampleGen
INV-5962fa15-db8c-4933-b76a-283fe0ff0f93,ID200033,CID-001,5962fa15-db8c-4933-b76a-283fe0ff0f93,2026-02-24,2026-03-26,1445.74,86.76,1532.5,Issued,SampleGen
INV-8621bc4c-d423-46db-bdae-4d82d4994b1c,ID200034,CID-001,8621bc4c-d423-46db-bdae-4d82d4994b1c,2026-02-20,2026-03-22,2243.9,134.64,2378.54,Issued,SampleGen
INV-8d4e5662-b041-443d-849a-370e3d66d352,ID200035,CID-001,8d4e5662-b041-443d-849a-370e3d66d352,2026-02-16,2026-03-18,4883.8,293.04,5176.84,Issued,SampleGen
INV-46739090-db26-4316-b738-9250667aab51,ID200036,CID-001,46739090-db26-4316-b738-9250667aab51,2026-02-07,2026-03-09,3487.86,209.28,3697.14,Issued,SampleGen
INV-c0d301f1-6b47-4c92-b3de-4f124880889f,ID200037,CID-001,c0d301f1-6b47-4c92-b3de-4f124880889f,2026-03-02,2026-04-01,1191.9,71.52,1263.42,Issued,SampleGen
INV-356a6fe2-df51-4f0d-bf17-1a2d52fe68cb,ID200038,CID-001,356a6fe2-df51-4f0d-bf17-1a2d52fe68cb,2026-03-31,2026-04-30,1039.84,62.4,1102.24,Issued,SampleGen
INV-addf5333-b492-44d6-aafe-f22b0713ce9e,ID200039,CID-001,addf5333-b492-44d6-aafe-f22b0713ce9e,2026-03-31,2026-04-30,3107.82,186.48,3294.3,Issued,SampleGen
INV-782a3020-9f72-4156-bb35-9244330bcd76,ID200040,CID-001,782a3020-9f72-4156-bb35-9244330bcd76,2026-03-21,2026-04-20,1777.76,106.68,1884.44,Issued,SampleGen
INV-2be06207-f2f5-4c8c-b314-e5f2f2e13f53,ID200041,CID-001,2be06207-f2f5-4c8c-b314-e5f2f2e13f53,2026-04-19,2026-05-19,1979.8,118.8,2098.6,Issued,SampleGen
INV-af042ec7-8574-427b-a4fe-79888f715e6a,ID200042,CID-001,af042ec7-8574-427b-a4fe-79888f715e6a,2026-04-11,2026-05-11,3581.86,214.92,3796.78,Issued,SampleGen
INV-5ca677e2-c17f-4fcf-b17b-61e73fce6db2,ID200043,CID-001,5ca677e2-c17f-4fcf-b17b-61e73fce6db2,2026-04-28,2026-05-28,2765.88,165.96,2931.84,Issued,SampleGen
INV-75ef42f3-0f80-4577-9273-601ca7a27dbf,ID200044,CID-001,75ef42f3-0f80-4577-9273-601ca7a27dbf,2026-04-30,2026-05-30,4393.76,263.64,4657.4,Issued,SampleGen
INV-4d8b46ff-80b3-4304-9491-b5e6067ff8f4,ID200045,CID-001,4d8b46ff-80b3-4304-9491-b5e6067ff8f4,2026-04-08,2026-05-08,1563.72,93.84,1657.56,Issued,SampleGen
INV-f31ee080-e5dc-4c69-a27f-6e1db1206144,ID200046,CID-002,f31ee080-e5dc-4c69-a27f-6e1db1206144,2025-01-11,2025-02-10,911.84,54.72,966.56,Issued,SampleGen
INV-bdc520a3-caba-47aa-80a9-4285dd05f4ae,ID200047,CID-002,bdc520a3-caba-47aa-80a9-4285dd05f4ae,2025-05-17,2025-06-16,491.92,29.52,521.44,Issued,SampleGen
INV-ebd17ad7-a28f-477b-9e20-bbe2b85b7b84,ID200048,CID-002,ebd17ad7-a28f-477b-9e20-bbe2b85b7b84,2025-11-01,2025-12-01,679.8,40.8,720.6,Issued,SampleGen
