InvoiceID,InvoiceNumber,CustomerID,OrderID,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-9f85891f-f699-4caa-bb94-cc7d29d6b166,IS300000,CID-001,9f85891f-f699-4caa-bb94-cc7d29d6b166,2026-01-20,2026-02-19,1059.96,92.75,1152.71,Paid,SampleGen
INV-0cba54ae-2033-4034-ae55-74da49695478,IS300001,CID-001,0cba54ae-2033-4034-ae55-74da49695478,2025-03-08,2025-04-07,659.94,57.75,717.69,Paid,SampleGen
INV-2e1edb25-737d-48da-bd2d-5dd92b8cd0bf,IS300002,CID-001,2e1edb25-737d-48da-bd2d-5dd92b8cd0bf,2026-04-03,2026-05-03,2059.96,180.25,2240.21,Paid,SampleGen
INV-6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,IS300003,CID-001,6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,2026-01-23,2026-02-22,1499.96,131.24,1631.2,Paid,SampleGen
INV-f46dc18c-5ca7-418e-9d6a-b08f8e0d908a,IS300004,CID-001,f46dc18c-5ca7-418e-9d6a-b08f8e0d908a,2026-04-22,2026-05-22,819.97,71.75,891.72,Paid,SampleGen
INV-1b33f1c5-0489-411a-9517-71a7885b6243,IS300005,CID-001,1b33f1c5-0489-411a-9517-71a7885b6243,2025-08-18,2025-09-17,299.99,26.25,326.24,Paid,SampleGen
INV-f0331dc3-254d-42c9-9a0e-a2b4063d4b57,IS300006,CID-002,f0331dc3-254d-42c9-9a0e-a2b4063d4b57,2025-04-26,2025-05-26,2759.96,241.5,3001.46,Paid,SampleGen
INV-a2f08ddc-29c6-4fe3-805b-f09174992ed7,IS300007,CID-002,a2f08ddc-29c6-4fe3-805b-f09174992ed7,2025-07-25,2025-08-24,1039.97,91.0,1130.97,Paid,SampleGen
INV-2377f598-58af-437f-b4cb-802979f614be,IS300008,CID-003,2377f598-58af-437f-b4cb-802979f614be,2025-05-09,2025-06-08,1019.97,89.25,1109.22,Paid,SampleGen
INV-ea5faeb1-5a2e-442f-8918-44ff58eeb49b,IS300009,CID-003,ea5faeb1-5a2e-442f-8918-44ff58eeb49b,2025-04-18,2025-05-18,789.95,69.12,859.07,Paid,SampleGen
INV-2f0f0ee0-7e03-445c-a155-9f38c1bd20d7,IS300010,CID-003,2f0f0ee0-7e03-445c-a155-9f38c1bd20d7,2025-05-17,2025-06-16,2059.96,180.25,2240.21,Paid,SampleGen
INV-eab55954-2c8b-40e0-96eb-d3ae1e66116f,IS300011,CID-003,eab55954-2c8b-40e0-96eb-d3ae1e66116f,2025-02-09,2025-03-11,1159.98,101.5,1261.48,Paid,SampleGen
INV-1ef802b2-5afd-4115-b570-70ed41272cf2,IS300012,CID-004,1ef802b2-5afd-4115-b570-70ed41272cf2,2025-06-19,2025-07-19,399.96,35.0,434.96,Paid,SampleGen
INV-955bbd8c-4bee-4afb-a789-d40a444f4c2b,IS300013,CID-005,955bbd8c-4bee-4afb-a789-d40a444f4c2b,2025-09-14,2025-10-14,279.98,24.49,304.47,Paid,SampleGen
INV-96cc1840-9acb-468e-bb06-3ba8da1c269a,IS300014,CID-005,96cc1840-9acb-468e-bb06-3ba8da1c269a,2025-02-04,2025-03-06,959.97,84.0,1043.97,Paid,SampleGen
INV-82b8f7c5-7992-4830-b602-0ac44ae040b3,IS300015,CID-006,82b8f7c5-7992-4830-b602-0ac44ae040b3,2025-10-21,2025-11-20,3649.95,319.37,3969.32,Paid,SampleGen
INV-4c2d6347-12c7-4e8a-b3e6-eeab0464ef0b,IS300016,CID-006,4c2d6347-12c7-4e8a-b3e6-eeab0464ef0b,2025-02-07,2025-03-09,1899.95,166.24,2066.19,Paid,SampleGen
INV-db3cf094-0e69-4ca5-9ecc-6a485599e762,IS300017,CID-006,db3cf094-0e69-4ca5-9ecc-6a485599e762,2025-08-02,2025-09-01,2199.94,192.5,2392.44,Paid,SampleGen
INV-9c6c00c2-4150-4461-b2d3-46bdbab2a933,IS300018,CID-007,9c6c00c2-4150-4461-b2d3-46bdbab2a933,2025-11-10,2025-12-10,2399.96,209.99,2609.95,Paid,SampleGen
INV-74308ba9-d5e6-440f-bb9a-3746b71de492,IS300019,CID-008,74308ba9-d5e6-440f-bb9a-3746b71de492,2025-10-23,2025-11-22,299.99,26.25,326.24,Paid,SampleGen
INV-f017c927-f4c5-483c-993a-1a6105ec3e0c,IS300020,CID-008,f017c927-f4c5-483c-993a-1a6105ec3e0c,2026-01-05,2026-02-04,879.98,77.0,956.98,Paid,SampleGen
INV-04019ca7-eaa8-47f0-9b4b-0e26b41ccf66,IS300021,CID-008,04019ca7-eaa8-47f0-9b4b-0e26b41ccf66,2026-04-17,2026-05-17,2339.94,204.75,2544.69,Paid,SampleGen
INV-17e06128-f33a-4cbf-905d-d02a30d6453b,IS300022,CID-009,17e06128-f33a-4cbf-905d-d02a30d6453b,2026-01-15,2026-02-14,799.98,70.0,869.98,Paid,SampleGen
INV-71f67fdd-47fe-4090-9698-e314f7872406,IS300023,CID-010,71f67fdd-47fe-4090-9698-e314f7872406,2026-01-02,2026-02-01,3149.96,275.62,3425.58,Paid,SampleGen
INV-6eb6a6a2-f8d6-40ab-a752-19cf9f32415f,IS300024,CID-010,6eb6a6a2-f8d6-40ab-a752-19cf9f32415f,2025-08-15,2025-09-14,619.95,54.25,674.2,Paid,SampleGen
INV-a92e9d2a-d7c8-4794-af74-f10eb8633c60,IS300025,CID-010,a92e9d2a-d7c8-4794-af74-f10eb8633c60,2026-02-19,2026-03-21,3899.97,341.25,4241.22,Paid,SampleGen
INV-87d6a670-2325-4cf5-9c29-043ebac13c35,IS300026,CID-010,87d6a670-2325-4cf5-9c29-043ebac13c35,2025-03-14,2025-04-13,269.98,23.62,293.6,Paid,SampleGen
INV-4221360e-a198-4221-b991-11f20dbbb8a9,IS300027,CID-010,4221360e-a198-4221-b991-11f20dbbb8a9,2026-01-03,2026-02-02,379.97,33.24,413.21,Paid,SampleGen
INV-a52332b7-e10b-4bcd-9f89-47b2515f760e,IS300028,CID-010,a52332b7-e10b-4bcd-9f89-47b2515f760e,2025-09-16,2025-10-16,579.99,50.75,630.74,Paid,SampleGen
INV-6f4727f1-2774-4451-af78-338cce31cd94,IS300029,CID-010,6f4727f1-2774-4451-af78-338cce31cd94,2026-03-04,2026-04-03,2839.96,248.5,3088.46,Paid,SampleGen
INV-b61bad09-0433-4247-807e-11da93630a3c,IS300030,CID-010,b61bad09-0433-4247-807e-11da93630a3c,2025-05-09,2025-06-08,3619.95,316.75,3936.7,Paid,SampleGen
INV-03f14316-cd7f-48d4-aaa7-72be117c59d7,IS300031,CID-010,03f14316-cd7f-48d4-aaa7-72be117c59d7,2026-02-24,2026-03-26,1619.94,141.75,1761.69,Paid,SampleGen
INV-d8cb6411-d337-4e20-91a4-1893ed8d45ef,IS300032,CID-010,d8cb6411-d337-4e20-91a4-1893ed8d45ef,2025-04-27,2025-05-27,1659.95,145.25,1805.2,Paid,SampleGen
INV-32b33207-6442-429c-9879-f11360547ce9,IS300033,CID-011,32b33207-6442-429c-9879-f11360547ce9,2025-03-21,2025-04-20,1299.98,113.75,1413.73,Paid,SampleGen
INV-b113f256-b297-4ea8-811b-f51c564587f8,IS300034,CID-011,b113f256-b297-4ea8-811b-f51c564587f8,2025-11-27,2025-12-27,499.98,43.75,543.73,Paid,SampleGen
INV-709f29e1-b1ed-4b88-a44e-ae822ed0bdc9,IS300035,CID-012,709f29e1-b1ed-4b88-a44e-ae822ed0bdc9,2026-02-19,2026-03-21,4469.94,391.12,4861.06,Paid,SampleGen
INV-288b9891-9a6e-4edb-b468-8864f72294a4,IS300036,CID-012,288b9891-9a6e-4edb-b468-8864f72294a4,2026-03-13,2026-04-12,149.99,13.12,163.11,Paid,SampleGen
