PaymentID,InvoiceID,CustomerID,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-9f85891f-f699-4caa-bb94-cc7d29d6b166,INV-9f85891f-f699-4caa-bb94-cc7d29d6b166,CID-001,2026-01-20,1152.71,MC,Completed,SampleGen
PAY-0cba54ae-2033-4034-ae55-74da49695478,INV-0cba54ae-2033-4034-ae55-74da49695478,CID-001,2025-03-08,717.69,MC,Completed,SampleGen
PAY-2e1edb25-737d-48da-bd2d-5dd92b8cd0bf,INV-2e1edb25-737d-48da-bd2d-5dd92b8cd0bf,CID-001,2026-04-03,2240.21,VISA,Completed,SampleGen
PAY-6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,INV-6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,CID-001,2026-01-23,1631.2,MC,Completed,SampleGen
PAY-f46dc18c-5ca7-418e-9d6a-b08f8e0d908a,INV-f46dc18c-5ca7-418e-9d6a-b08f8e0d908a,CID-001,2026-04-22,891.72,PayPal,Completed,SampleGen
PAY-1b33f1c5-0489-411a-9517-71a7885b6243,INV-1b33f1c5-0489-411a-9517-71a7885b6243,CID-001,2025-08-18,326.24,PayPal,Completed,SampleGen
PAY-f0331dc3-254d-42c9-9a0e-a2b4063d4b57,INV-f0331dc3-254d-42c9-9a0e-a2b4063d4b57,CID-002,2025-04-26,3001.46,AmEx,Completed,SampleGen
PAY-a2f08ddc-29c6-4fe3-805b-f09174992ed7,INV-a2f08ddc-29c6-4fe3-805b-f09174992ed7,CID-002,2025-07-25,1130.97,MC,Completed,SampleGen
PAY-2377f598-58af-437f-b4cb-802979f614be,INV-2377f598-58af-437f-b4cb-802979f614be,CID-003,2025-05-09,1109.22,Discover,Completed,SampleGen
PAY-ea5faeb1-5a2e-442f-8918-44ff58eeb49b,INV-ea5faeb1-5a2e-442f-8918-44ff58eeb49b,CID-003,2025-04-18,859.07,MC,Completed,SampleGen
PAY-2f0f0ee0-7e03-445c-a155-9f38c1bd20d7,INV-2f0f0ee0-7e03-445c-a155-9f38c1bd20d7,CID-003,2025-05-17,2240.21,MC,Completed,SampleGen
PAY-eab55954-2c8b-40e0-96eb-d3ae1e66116f,INV-eab55954-2c8b-40e0-96eb-d3ae1e66116f,CID-003,2025-02-09,1261.48,VISA,Completed,SampleGen
PAY-1ef802b2-5afd-4115-b570-70ed41272cf2,INV-1ef802b2-5afd-4115-b570-70ed41272cf2,CID-004,2025-06-19,434.96,VISA,Completed,SampleGen
PAY-955bbd8c-4bee-4afb-a789-d40a444f4c2b,INV-955bbd8c-4bee-4afb-a789-d40a444f4c2b,CID-005,2025-09-14,304.47,AmEx,Completed,SampleGen
PAY-96cc1840-9acb-468e-bb06-3ba8da1c269a,INV-96cc1840-9acb-468e-bb06-3ba8da1c269a,CID-005,2025-02-04,1043.97,Discover,Completed,SampleGen
PAY-82b8f7c5-7992-4830-b602-0ac44ae040b3,INV-82b8f7c5-7992-4830-b602-0ac44ae040b3,CID-006,2025-10-21,3969.32,VISA,Completed,SampleGen
PAY-4c2d6347-12c7-4e8a-b3e6-eeab0464ef0b,INV-4c2d6347-12c7-4e8a-b3e6-eeab0464ef0b,CID-006,2025-02-07,2066.19,Discover,Completed,SampleGen
PAY-db3cf094-0e69-4ca5-9ecc-6a485599e762,INV-db3cf094-0e69-4ca5-9ecc-6a485599e762,CID-006,2025-08-02,2392.44,VISA,Completed,SampleGen
PAY-9c6c00c2-4150-4461-b2d3-46bdbab2a933,INV-9c6c00c2-4150-4461-b2d3-46bdbab2a933,CID-007,2025-11-10,2609.95,MC,Completed,SampleGen
PAY-74308ba9-d5e6-440f-bb9a-3746b71de492,INV-74308ba9-d5e6-440f-bb9a-3746b71de492,CID-008,2025-10-23,326.24,Discover,Completed,SampleGen
PAY-f017c927-f4c5-483c-993a-1a6105ec3e0c,INV-f017c927-f4c5-483c-993a-1a6105ec3e0c,CID-008,2026-01-05,956.98,MC,Completed,SampleGen
PAY-04019ca7-eaa8-47f0-9b4b-0e26b41ccf66,INV-04019ca7-eaa8-47f0-9b4b-0e26b41ccf66,CID-008,2026-04-17,2544.69,MC,Completed,SampleGen
PAY-17e06128-f33a-4cbf-905d-d02a30d6453b,INV-17e06128-f33a-4cbf-905d-d02a30d6453b,CID-009,2026-01-15,869.98,MC,Completed,SampleGen
PAY-71f67fdd-47fe-4090-9698-e314f7872406,INV-71f67fdd-47fe-4090-9698-e314f7872406,CID-010,2026-01-02,3425.58,AmEx,Completed,SampleGen
PAY-6eb6a6a2-f8d6-40ab-a752-19cf9f32415f,INV-6eb6a6a2-f8d6-40ab-a752-19cf9f32415f,CID-010,2025-08-15,674.2,VISA,Completed,SampleGen
PAY-a92e9d2a-d7c8-4794-af74-f10eb8633c60,INV-a92e9d2a-d7c8-4794-af74-f10eb8633c60,CID-010,2026-02-19,4241.22,PayPal,Completed,SampleGen
PAY-87d6a670-2325-4cf5-9c29-043ebac13c35,INV-87d6a670-2325-4cf5-9c29-043ebac13c35,CID-010,2025-03-14,293.6,Discover,Completed,SampleGen
PAY-4221360e-a198-4221-b991-11f20dbbb8a9,INV-4221360e-a198-4221-b991-11f20dbbb8a9,CID-010,2026-01-03,413.21,AmEx,Completed,SampleGen
PAY-a52332b7-e10b-4bcd-9f89-47b2515f760e,INV-a52332b7-e10b-4bcd-9f89-47b2515f760e,CID-010,2025-09-16,630.74,MC,Completed,SampleGen
PAY-6f4727f1-2774-4451-af78-338cce31cd94,INV-6f4727f1-2774-4451-af78-338cce31cd94,CID-010,2026-03-04,3088.46,VISA,Completed,SampleGen
