PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,4,Worldwide Importers,2026-02-20,2026-03-15,2026-03-28,Delivered,12427.26,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-02-20
2,PO-2026-0002,2,Proseware Inc,2026-01-31,2026-02-09,2026-02-10,Delivered,7096.3,Regional DC,buyer1,Low,Multi-category order,system,2026-01-31
3,PO-2026-0003,1,Contoso Ltd,2026-04-25,2026-05-09,,Confirmed,1798.76,Regional DC,buyer2,Medium,Multi-category order,system,2026-04-25
4,PO-2026-0004,1,Contoso Ltd,2026-04-02,2026-04-11,2026-04-13,Delivered,2438.34,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-04-02
5,PO-2026-0005,5,Fabrikam,2026-02-04,2026-02-23,2026-02-26,Delivered,13893.66,Backup Warehouse,buyer2,High,Multi-category order,system,2026-02-04
6,PO-2026-0006,6,Worldwide Importers,2026-03-16,2026-04-05,2026-04-05,Delivered,0.0,Main Warehouse,supply_manager,Medium,Multi-category order,system,2026-03-16
7,PO-2026-0007,4,Worldwide Importers,2026-04-15,2026-05-09,,Sent,14542.13,Regional DC,buyer1,Low,Multi-category order,system,2026-04-15
8,PO-2026-0008,1,Contoso Ltd,2026-03-18,2026-03-27,2026-03-27,Delivered,1240.75,Main Warehouse,buyer2,Low,Multi-category order,system,2026-03-18
9,PO-2026-0009,6,Worldwide Importers,2026-03-05,2026-03-28,2026-03-29,Delivered,0.0,Regional DC,supply_manager,Low,Multi-category order,system,2026-03-05
10,PO-2026-0010,3,Alpine Ski House,2026-03-25,2026-04-10,2026-04-12,Delivered,5077.73,Main Warehouse,supply_manager,Low,Multi-category order,system,2026-03-25
11,PO-2026-0011,4,Worldwide Importers,2026-02-10,2026-03-05,2026-03-08,Delivered,9341.01,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-10
12,PO-2026-0012,4,Worldwide Importers,2026-04-13,2026-05-03,,Confirmed,8338.79,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-04-13
13,PO-2026-0013,3,Alpine Ski House,2026-04-09,2026-04-24,2026-04-24,Delivered,1893.02,Main Warehouse,buyer1,Medium,Multi-category order,system,2026-04-09
14,PO-2026-0014,5,Fabrikam,2026-03-26,2026-04-12,2026-04-13,Delivered,29364.0,Main Warehouse,buyer2,Medium,Multi-category order,system,2026-03-26
15,PO-2026-0015,4,Worldwide Importers,2026-03-21,2026-04-15,2026-04-18,Delivered,2320.01,Main Warehouse,buyer2,Low,Multi-category order,system,2026-03-21
16,PO-2026-0016,3,Alpine Ski House,2026-01-31,2026-02-12,2026-02-12,Delivered,2497.06,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-01-31
