OrderID,ProductLineName,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
db61ae37-fda5-4c77-9764-236c3abdef16,Camping,F100000,CID-001,CA-0001,2025-01-23,Pending,384.98,33.68,418.66,AmEx,USD,SampleGen
bcfc13e1-7441-4823-abce-dc0450d2adbd,Camping,F100001,CID-001,CA-0001,2025-02-25,Completed,969.92,84.86,1054.78,VISA,USD,SampleGen
46ca6660-fb07-4635-a757-33b4729701e2,Camping,F100002,CID-001,CA-0001,2025-03-11,Completed,1159.92,101.49,1261.41,MC,USD,SampleGen
62985746-0a86-4bea-8ed0-fe8900fa5e07,Camping,F100003,CID-001,CA-0001,2025-04-24,Completed,374.96,32.8,407.76,VISA,USD,SampleGen
964e1549-cf09-460d-aff8-44b076f76326,Camping,F100004,CID-001,CA-0001,2025-05-23,Completed,1304.92,114.17,1419.09,VISA,USD,SampleGen
2f399d9f-fdbb-4064-af97-60ad790aad16,Camping,F100005,CID-001,CA-0001,2025-06-23,Completed,1379.94,120.74,1500.68,MC,USD,SampleGen
41d0d5d0-f3c2-40d1-9735-bd6bf1662f7c,Camping,F100006,CID-001,CA-0001,2025-07-26,Completed,189.99,16.62,206.61,VISA,USD,SampleGen
1629419f-48c4-442d-b965-427f8dcb4ffc,Camping,F100007,CID-001,CA-0001,2025-08-10,Completed,1459.92,127.74,1587.66,VISA,USD,SampleGen
24a635de-ca48-4c6c-91ba-7de5efecdb80,Camping,F100008,CID-001,CA-0001,2025-09-30,Shipped,939.93,82.25,1022.18,MC,USD,SampleGen
a82f3e85-7ef5-47ab-86d8-e87adeac1c19,Camping,F100009,CID-001,CA-0001,2025-10-04,Cancelled,779.95,68.24,848.19,MC,USD,SampleGen
8528b642-fac3-41e6-afd2-44da3661ada2,Camping,F100010,CID-001,CA-0001,2025-11-18,Completed,1619.92,141.75,1761.67,PayPal,USD,SampleGen
