OrderID,OrderLineNumber,ProductID,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
9f85891f-f699-4caa-bb94-cc7d29d6b166,1,3033,Women's Performance Ski Boots,1,579.99,579.99,0.0,50.75
9f85891f-f699-4caa-bb94-cc7d29d6b166,2,3041,Carbon Fiber Racing Poles - 120cm,1,179.99,179.99,0.0,15.75
9f85891f-f699-4caa-bb94-cc7d29d6b166,3,3042,Aluminum All-Mountain Poles - 115cm,1,99.99,99.99,0.0,8.75
9f85891f-f699-4caa-bb94-cc7d29d6b166,4,3061,Professional Ski Helmet,1,199.99,199.99,0.0,17.5
0cba54ae-2033-4034-ae55-74da49695478,1,3052,Thermal Base Layer Set - Women's,2,149.99,299.98,0.0,26.25
0cba54ae-2033-4034-ae55-74da49695478,2,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
0cba54ae-2033-4034-ae55-74da49695478,3,3042,Aluminum All-Mountain Poles - 115cm,2,99.99,199.98,0.0,17.5
2e1edb25-737d-48da-bd2d-5dd92b8cd0bf,1,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
2e1edb25-737d-48da-bd2d-5dd92b8cd0bf,2,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,1,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,2,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,3,3013,Beginner's Choice Alpine Skis - 160cm,1,449.99,449.99,0.0,39.37
f46dc18c-5ca7-418e-9d6a-b08f8e0d908a,1,3021,Nordic Classic XC Skis - 185cm,2,349.99,699.98,0.0,61.25
f46dc18c-5ca7-418e-9d6a-b08f8e0d908a,2,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
1b33f1c5-0489-411a-9517-71a7885b6243,1,3103,Snowboard Bindings - Pro,1,299.99,299.99,0.0,26.25
f0331dc3-254d-42c9-9a0e-a2b4063d4b57,1,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
f0331dc3-254d-42c9-9a0e-a2b4063d4b57,2,3011,Alpine Pro Racing Skis - 170cm,2,1299.99,2599.98,0.0,227.5
a2f08ddc-29c6-4fe3-805b-f09174992ed7,1,3092,All-Mountain Snowboard - 158cm,1,799.99,799.99,0.0,70.0
a2f08ddc-29c6-4fe3-805b-f09174992ed7,2,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
2377f598-58af-437f-b4cb-802979f614be,1,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
2377f598-58af-437f-b4cb-802979f614be,2,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
ea5faeb1-5a2e-442f-8918-44ff58eeb49b,1,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
ea5faeb1-5a2e-442f-8918-44ff58eeb49b,2,3102,Winter Hiking Boots - Waterproof,1,249.99,249.99,0.0,21.87
ea5faeb1-5a2e-442f-8918-44ff58eeb49b,3,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
2f0f0ee0-7e03-445c-a155-9f38c1bd20d7,1,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
2f0f0ee0-7e03-445c-a155-9f38c1bd20d7,2,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
eab55954-2c8b-40e0-96eb-d3ae1e66116f,1,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
1ef802b2-5afd-4115-b570-70ed41272cf2,1,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
1ef802b2-5afd-4115-b570-70ed41272cf2,2,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
955bbd8c-4bee-4afb-a789-d40a444f4c2b,1,3062,Anti-Fog Ski Goggles,1,129.99,129.99,0.0,11.37
955bbd8c-4bee-4afb-a789-d40a444f4c2b,2,3052,Thermal Base Layer Set - Women's,1,149.99,149.99,0.0,13.12
96cc1840-9acb-468e-bb06-3ba8da1c269a,1,3104,Ski Tuning Bench - Portable,2,189.99,379.98,0.0,33.25
96cc1840-9acb-468e-bb06-3ba8da1c269a,2,3033,Women's Performance Ski Boots,1,579.99,579.99,0.0,50.75
82b8f7c5-7992-4830-b602-0ac44ae040b3,1,3061,Professional Ski Helmet,2,199.99,399.98,0.0,35.0
82b8f7c5-7992-4830-b602-0ac44ae040b3,2,3031,Pro Flex Racing Ski Boots,1,649.99,649.99,0.0,56.87
