OrderID,ProductLineName,OrderNumber,CustomerID,CustomerAccountID,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
9f85891f-f699-4caa-bb94-cc7d29d6b166,Ski,S300000,CID-001,CA-0926,2026-01-19,Completed,1059.96,92.75,1152.71,MC,USD,SampleGen
0cba54ae-2033-4034-ae55-74da49695478,Ski,S300001,CID-001,CA-0926,2025-03-07,Completed,659.94,57.75,717.69,MC,USD,SampleGen
2e1edb25-737d-48da-bd2d-5dd92b8cd0bf,Ski,S300002,CID-001,CA-0926,2026-04-02,Completed,2059.96,180.25,2240.21,VISA,USD,SampleGen
6bb4a0fd-6a05-42c4-8ca7-66c54b0a232e,Ski,S300003,CID-001,CA-0926,2026-01-22,Completed,1499.96,131.24,1631.2,MC,USD,SampleGen
f46dc18c-5ca7-418e-9d6a-b08f8e0d908a,Ski,S300004,CID-001,CA-0926,2026-04-21,Pending,819.97,71.75,891.72,PayPal,USD,SampleGen
1b33f1c5-0489-411a-9517-71a7885b6243,Ski,S300005,CID-001,CA-0926,2025-08-17,Completed,299.99,26.25,326.24,PayPal,USD,SampleGen
f0331dc3-254d-42c9-9a0e-a2b4063d4b57,Ski,S300006,CID-002,CA-0927,2025-04-25,Completed,2759.96,241.5,3001.46,AmEx,USD,SampleGen
a2f08ddc-29c6-4fe3-805b-f09174992ed7,Ski,S300007,CID-002,CA-0927,2025-07-24,Pending,1039.97,91.0,1130.97,MC,USD,SampleGen
2377f598-58af-437f-b4cb-802979f614be,Ski,S300008,CID-003,CA-0928,2025-05-08,Completed,1019.97,89.25,1109.22,Discover,USD,SampleGen
ea5faeb1-5a2e-442f-8918-44ff58eeb49b,Ski,S300009,CID-003,CA-0928,2025-04-17,Completed,789.95,69.12,859.07,MC,USD,SampleGen
2f0f0ee0-7e03-445c-a155-9f38c1bd20d7,Ski,S300010,CID-003,CA-0928,2025-05-16,Completed,2059.96,180.25,2240.21,MC,USD,SampleGen
eab55954-2c8b-40e0-96eb-d3ae1e66116f,Ski,S300011,CID-003,CA-0928,2025-02-08,Completed,1159.98,101.5,1261.48,VISA,USD,SampleGen
1ef802b2-5afd-4115-b570-70ed41272cf2,Ski,S300012,CID-004,CA-0929,2025-06-18,Shipped,399.96,35.0,434.96,VISA,USD,SampleGen
955bbd8c-4bee-4afb-a789-d40a444f4c2b,Ski,S300013,CID-005,CA-0930,2025-09-13,Shipped,279.98,24.49,304.47,AmEx,USD,SampleGen
96cc1840-9acb-468e-bb06-3ba8da1c269a,Ski,S300014,CID-005,CA-0930,2025-02-03,Completed,959.97,84.0,1043.97,Discover,USD,SampleGen
82b8f7c5-7992-4830-b602-0ac44ae040b3,Ski,S300015,CID-006,CA-0931,2025-10-20,Completed,3649.95,319.37,3969.32,VISA,USD,SampleGen
4c2d6347-12c7-4e8a-b3e6-eeab0464ef0b,Ski,S300016,CID-006,CA-0931,2025-02-06,Completed,1899.95,166.24,2066.19,Discover,USD,SampleGen
db3cf094-0e69-4ca5-9ecc-6a485599e762,Ski,S300017,CID-006,CA-0931,2025-08-01,Completed,2199.94,192.5,2392.44,VISA,USD,SampleGen
9c6c00c2-4150-4461-b2d3-46bdbab2a933,Ski,S300018,CID-007,CA-0932,2025-11-09,Pending,2399.96,209.99,2609.95,MC,USD,SampleGen
74308ba9-d5e6-440f-bb9a-3746b71de492,Ski,S300019,CID-008,CA-0933,2025-10-22,Completed,299.99,26.25,326.24,Discover,USD,SampleGen
f017c927-f4c5-483c-993a-1a6105ec3e0c,Ski,S300020,CID-008,CA-0933,2026-01-04,Pending,879.98,77.0,956.98,MC,USD,SampleGen
04019ca7-eaa8-47f0-9b4b-0e26b41ccf66,Ski,S300021,CID-008,CA-0933,2026-04-16,Pending,2339.94,204.75,2544.69,MC,USD,SampleGen
17e06128-f33a-4cbf-905d-d02a30d6453b,Ski,S300022,CID-009,CA-0934,2026-01-14,Shipped,799.98,70.0,869.98,MC,USD,SampleGen
71f67fdd-47fe-4090-9698-e314f7872406,Ski,S300023,CID-010,CA-0935,2026-01-01,Completed,3149.96,275.62,3425.58,AmEx,USD,SampleGen
6eb6a6a2-f8d6-40ab-a752-19cf9f32415f,Ski,S300024,CID-010,CA-0935,2025-08-14,Completed,619.95,54.25,674.2,VISA,USD,SampleGen
a92e9d2a-d7c8-4794-af74-f10eb8633c60,Ski,S300025,CID-010,CA-0935,2026-02-18,Completed,3899.97,341.25,4241.22,PayPal,USD,SampleGen
87d6a670-2325-4cf5-9c29-043ebac13c35,Ski,S300026,CID-010,CA-0935,2025-03-13,Completed,269.98,23.62,293.6,Discover,USD,SampleGen
4221360e-a198-4221-b991-11f20dbbb8a9,Ski,S300027,CID-010,CA-0935,2026-01-02,Completed,379.97,33.24,413.21,AmEx,USD,SampleGen
a52332b7-e10b-4bcd-9f89-47b2515f760e,Ski,S300028,CID-010,CA-0935,2025-09-15,Completed,579.99,50.75,630.74,MC,USD,SampleGen
